nout	nsum	cfl	tlength	tsum	dmax	vmax	volume	ekin
R	-----	-----	-----	-----	*1.000	-----	*41600.000	-----
0	0	-----	-----	0.0	1.000	0.00	41600.000	
1	19	0.384	23.7	10.1	2.647	31.88	41558.582	22533369856
2	40	0.394	24.6	20.1	3.473	25.32	41442.020	14045009920
3	61	0.400	21.2	30.4	3.217	25.00	41129.457	10984460288
4	79	0.391	30.1	40.0	2.461	22.14	40794.590	8941151232
5	97	0.398	29.6	50.2	2.778	22.12	40487.938	8080839168
6	115	0.397	24.8	60.5	2.273	19.48	40227.891	6999997440
7	131	0.400	32.0	70.2	2.455	21.10	39522.895	6461596672
8	148	0.396	33.4	80.5	2.123	19.83	38399.859	5826715648
9	163	0.395	36.7	90.6	1.560	18.82	37613.961	5187621376
10	177	0.399	35.5	100.3	1.841	18.89	36392.031	5223813120
11	192	0.397	36.4	110.6	1.570	17.75	35102.719	4454755328
12	207	0.400	37.3	120.6	1.721	18.08	34168.578	4061430272
13	221	0.393	36.6	130.5	1.530	17.53	33477.359	3670656512
14	235	0.395	22.4	140.5	1.362	22.51	32912.051	3338215680
15	249	0.399	45.2	150.3	1.246	18.06	32512.893	3193607424
16	262	0.396	37.8	160.2	0.960	16.54	32279.455	2863303936
17	275	0.388	38.9	170.9	0.975	15.76	32026.133	2676059136
18	287	0.388	27.3	180.7	0.901	16.40	31771.523	2437154816
19	298	0.381	39.8	190.6	0.837	14.41	31496.859	2353906176
20	308	0.397	60.8	200.8	0.876	12.87	31218.879	2188985856
21	318	0.398	40.1	210.5	1.020	13.49	30960.910	2098961536
22	328	0.320	48.2	220.5	0.936	11.64	30718.451	1910540416
23	336	0.397	68.8	230.2	0.838	11.99	30529.428	1800355072
24	344	0.396	61.6	240.1	0.632	11.91	30329.240	1734187776
25	354	0.395	45.3	250.5	0.582	11.96	30125.273	1872843264
26	365	0.365	40.8	260.7	0.833	12.37	29950.000	1819977984
27	375	0.398	51.7	270.2	1.030	13.24	29793.246	1837309824
28	386	0.397	36.7	280.2	1.064	17.06	29645.117	1816698112
29	398	0.397	31.5	290.3	1.028	16.83	29502.797	1613890176
30	410	0.398	33.2	300.8	1.015	12.40	29354.748	1511102720
