nout	nsum	z0_vflow1	z0vchange1
0	0	41600.000	0
1	10.1	41558.582	0.000
2	20.1	41442.020	0.000
3	30.4	41129.457	0.000
4	40.0	40794.590	0.000
5	50.2	40487.938	0.000
6	60.5	40227.891	0.000
7	70.2	39522.895	0.000
8	80.5	38399.859	0.000
9	90.6	37613.961	0.000
10	100.3	36392.031	0.000
11	110.6	35102.719	0.000
12	120.6	34168.578	0.000
13	130.5	33477.359	0.000
14	140.5	32912.051	0.000
15	150.3	32512.893	0.000
16	160.2	32279.455	0.000
17	170.9	32026.133	0.000
18	180.7	31771.523	0.000
19	190.6	31496.859	0.000
20	200.8	31218.879	0.000
21	210.5	30960.910	0.000
22	220.5	30718.451	0.000
23	230.2	30529.428	0.000
24	240.1	30329.240	0.000
25	250.5	30125.273	0.000
26	260.7	29950.000	0.000
27	270.2	29793.246	0.000
28	280.2	29645.117	0.000
29	290.3	29502.797	0.000
30	300.8	29354.748	0.000
