time, current, entrained
0.10,    10113566.210787,    0.000000
0.20,    10113566.210787,    0.000000
0.30,    10113566.210787,    0.000000
0.40,    10113566.210787,    0.000000
0.50,    10113566.210787,    0.000000
0.60,    10113566.210787,    0.000000
0.70,    10113566.210787,    0.000000
0.80,    10113566.210787,    0.000000
0.90,    10113566.210787,    0.000000
1.00,    10113566.210787,    0.000000
1.10,    10113566.210787,    0.000000
1.20,    10113566.210787,    0.000000
1.30,    10113566.210787,    0.000000
1.40,    10113566.210787,    0.000000
1.50,    10113566.210787,    0.000000
1.60,    10113566.210787,    0.000000
1.70,    10113566.210787,    0.000000
1.80,    10113566.210787,    0.000000
1.90,    10113566.210787,    0.000000
2.00,    10113566.210787,    0.000000
2.10,    10113566.210787,    0.000000
2.20,    10113566.210787,    0.000000
2.30,    10113566.210787,    0.000000
2.40,    10113566.210787,    0.000000
2.50,    10113566.210787,    0.000000
2.60,    10113566.210787,    0.000000
2.70,    10113566.210787,    0.000000
2.80,    10113566.210787,    0.000000
2.90,    10113566.210787,    0.000000
3.00,    10113566.210787,    0.000000
3.10,    10113566.210787,    0.000000
3.20,    10113566.210787,    0.000000
3.30,    10113566.210787,    0.000000
3.40,    10113566.210787,    0.000000
3.50,    10113566.210787,    0.000000
3.60,    10113566.210787,    0.000000
3.70,    10113566.210787,    0.000000
3.80,    10113566.210787,    0.000000
3.90,    10113566.210787,    0.000000
4.00,    10113566.557291,    0.346504
4.10,    10113567.991166,    1.433876
4.20,    10113570.900971,    2.909805
4.30,    10113574.951444,    4.050472
4.40,    10113580.567892,    5.616449
4.50,    10113589.658741,    9.090849
4.60,    10113600.819934,    11.161193
4.70,    10113614.460123,    13.640189
4.80,    10113630.957239,    16.497116
4.90,    10113651.303586,    20.346347
5.00,    10113675.198384,    23.894798
5.10,    10113702.352742,    27.154358
5.20,    10113733.270585,    30.917843
5.30,    10113770.025984,    36.755399
5.40,    10113812.786184,    42.760200
5.50,    10113860.287667,    47.501483
5.60,    10113913.335110,    53.047442
5.70,    10113972.906940,    59.571831
5.80,    10114038.874487,    65.967547
5.90,    10114112.396813,    73.522326
6.00,    10114192.663706,    80.266893
6.10,    10114281.221202,    88.557496
6.20,    10114377.211681,    95.990480
6.30,    10114482.782734,    105.571053
6.40,    10114599.247088,    116.464354
6.50,    10114726.988419,    127.741331
6.60,    10114866.095832,    139.107413
6.70,    10115019.597243,    153.501410
6.80,    10115191.225563,    171.628321
6.90,    10115381.930824,    190.705260
7.00,    10115593.128443,    211.197620
7.10,    10115828.061099,    234.932655
7.20,    10116087.954592,    259.893493
7.30,    10116372.627379,    284.672788
7.40,    10116686.433614,    313.806234
7.50,    10117030.148945,    343.715331
7.60,    10117411.066467,    380.917522
7.70,    10117830.009352,    418.942886
7.80,    10118296.830230,    466.820878
7.90,    10118811.340715,    514.510485
8.00,    10119375.851670,    564.510955
8.10,    10119997.751480,    621.899810
8.20,    10120678.073693,    680.322213
8.30,    10121427.679484,    749.605791
8.40,    10122242.141012,    814.461528
8.50,    10123123.969569,    881.828557
8.60,    10124078.990880,    955.021311
8.70,    10125103.717221,    1024.726341
8.80,    10126204.147037,    1100.429816
8.90,    10127384.347368,    1180.200331
9.00,    10128646.490284,    1262.142917
9.10,    10130003.720756,    1357.230472
9.20,    10131455.074786,    1451.354030
9.30,    10132997.794525,    1542.719739
9.40,    10134637.952211,    1640.157687
9.50,    10136373.516165,    1735.563953
9.60,    10138214.595035,    1841.078871
9.70,    10140167.721522,    1953.126487
9.80,    10142232.552108,    2064.830586
9.90,    10144423.617883,    2191.065775
10.00,    10146736.530705,    2312.912821
10.10,    10149193.489251,    2456.958547
10.20,    10151790.731594,    2597.242343
10.30,    10154537.255115,    2746.523521
10.40,    10157440.727806,    2903.472691
10.50,    10160514.670600,    3073.942794
10.60,    10163750.456930,    3235.786330
10.70,    10167169.575492,    3419.118562
10.80,    10170756.257240,    3586.681748
10.90,    10174510.738348,    3754.481108
11.00,    10178454.364567,    3943.626219
11.10,    10182607.748545,    4153.383978
11.20,    10186989.905551,    4382.157006
11.30,    10191617.097927,    4627.192376
11.40,    10196503.387269,    4886.289342
11.50,    10201691.196239,    5187.808969
11.60,    10207179.519864,    5488.323625
11.70,    10212990.394032,    5810.874168
11.80,    10219103.321573,    6112.927542
11.90,    10224679.624482,    5576.302909
12.00,    10230578.462497,    5898.838015
12.10,    10236797.408498,    6218.946001
12.20,    10243407.272486,    6609.863988
12.30,    10249496.667053,    6089.394567
12.40,    10255947.361346,    6450.694293
12.50,    10262726.868580,    6779.507234
12.60,    10269864.163733,    7137.295152
12.70,    10276585.011699,    6720.847966
12.80,    10283622.965572,    7037.953873
12.90,    10290086.029221,    6463.063648
13.00,    10296336.772352,    6250.743131
13.10,    10302911.821729,    6575.049377
13.20,    10309753.154900,    6841.333171
13.30,    10316250.460489,    6497.305589
13.40,    10322978.148192,    6727.687703
13.50,    10329903.137193,    6924.989001
13.60,    10337122.156586,    7219.019392
13.70,    10344589.688403,    7467.531817
13.80,    10351844.654394,    7254.965991
13.90,    10359429.326801,    7584.672407
14.00,    10367354.412035,    7925.085235
14.10,    10375631.233522,    8276.821486
14.20,    10384313.910719,    8682.677197
14.30,    10393376.923069,    9063.012350
14.40,    10402836.664818,    9459.741750
14.50,    10411138.731079,    8302.066261
14.60,    10419799.313096,    8660.582017
14.70,    10427981.746484,    8182.433388
14.80,    10436414.795733,    8433.049249
14.90,    10443924.033103,    7509.237370
15.00,    10451642.559953,    7718.526850
15.10,    10459688.966020,    8046.406067
15.20,    10467973.716855,    8284.750834
15.30,    10475639.143357,    7665.426502
15.40,    10482489.276155,    6850.132799
15.50,    10489556.636775,    7067.360620
15.60,    10496789.081679,    7232.444903
15.70,    10503349.954349,    6560.872670
15.80,    10510149.054072,    6799.099722
15.90,    10517141.426270,    6992.372198
16.00,    10524319.742942,    7178.316672
16.10,    10531344.573829,    7024.830888
16.20,    10538527.578220,    7183.004391
16.30,    10545863.065580,    7335.487360
16.40,    10553403.392198,    7540.326618
16.50,    10561165.974202,    7762.582004
16.60,    10568387.621180,    7221.646977
16.70,    10575836.328789,    7448.707609
16.80,    10583490.624466,    7654.295677
16.90,    10591478.939559,    7988.315094
17.00,    10599811.136877,    8332.197318
17.10,    10608486.918579,    8675.781702
17.20,    10616090.303734,    7603.385155
17.30,    10623991.290146,    7900.986412
17.40,    10631718.469974,    7727.179828
17.50,    10639811.065644,    8092.595670
17.60,    10648353.201730,    8542.136085
17.70,    10657301.371441,    8948.169712
17.80,    10664541.367808,    7239.996367
17.90,    10672275.296182,    7733.928374
18.00,    10680545.098650,    8269.802468
18.10,    10689189.019186,    8643.920536
18.20,    10698400.871176,    9211.851989
18.30,    10708138.066867,    9737.195691
18.40,    10718272.185659,    10134.118792
18.50,    10728911.264759,    10639.079100
18.60,    10737706.870359,    8795.605600
18.70,    10747080.502077,    9373.631718
18.80,    10756963.326219,    9882.824142
18.90,    10764424.607902,    7461.281683
19.00,    10772326.494314,    7901.886411
19.10,    10780734.343960,    8407.849647
19.20,    10789707.270516,    8972.926556
19.30,    10799279.541188,    9572.270672
19.40,    10807913.009610,    8633.468422
19.50,    10817167.322883,    9254.313273
19.60,    10826134.017568,    8966.694685
19.70,    10835758.066404,    9624.048836
19.80,    10844545.542358,    8787.475954
19.90,    10852678.561384,    8133.019026
20.00,    10861255.114679,    8576.553294
20.10,    10870248.480634,    8993.365956
20.20,    10878412.247822,    8163.767188
20.30,    10886855.623490,    8443.375669
20.40,    10895571.878826,    8716.255336
20.50,    10902708.409441,    7136.530614
20.60,    10909216.235443,    6507.826003
20.70,    10915227.031711,    6010.796268
20.80,    10921740.886465,    6513.854754
20.90,    10927265.966293,    5525.079828
21.00,    10933150.692409,    5884.726116
21.10,    10939351.574846,    6200.882437
21.20,    10945872.189116,    6520.614269
21.30,    10952606.642834,    6734.453718
21.40,    10958031.638937,    5424.996104
21.50,    10963595.868282,    5564.229345
21.60,    10967951.915177,    4356.046894
21.70,    10972394.412295,    4442.497118
21.80,    10976999.450734,    4605.038439
21.90,    10981682.453979,    4683.003244
22.00,    10986440.536056,    4758.082077
22.10,    10991200.779184,    4760.243128
22.20,    10996048.811687,    4848.032503
22.30,    11001064.214381,    5015.402694
22.40,    11006292.163278,    5227.948897
22.50,    11011678.334615,    5386.171337
22.60,    11017311.709878,    5633.375263
22.70,    11022367.959347,    5056.249469
22.80,    11026751.244248,    4383.284901
22.90,    11031488.824850,    4737.580602
23.00,    11036492.046484,    5003.221633
23.10,    11041856.018282,    5363.971798
23.20,    11047585.961327,    5729.943046
23.30,    11053722.033570,    6136.072243
23.40,    11060221.808850,    6499.775280
23.50,    11066674.298653,    6452.489803
23.60,    11073111.672112,    6437.373459
23.70,    11080109.626038,    6997.953926
23.80,    11087511.135426,    7401.509387
23.90,    11095337.198995,    7826.063570
24.00,    11103563.158857,    8225.959862
24.10,    11112096.469403,    8533.310546
24.20,    11118185.349629,    6088.880226
24.30,    11124576.090588,    6390.740959
24.40,    11131239.223086,    6663.132497
24.50,    11138153.123414,    6913.900329
24.60,    11144061.304329,    5908.180915
24.70,    11150162.400405,    6101.096076
24.80,    11156418.257100,    6255.856695
24.90,    11162805.731027,    6387.473928
25.00,    11169243.619312,    6437.888285
25.10,    11174799.976243,    5556.356931
25.20,    11179572.638967,    4772.662725
25.30,    11184358.906719,    4786.267752
25.40,    11189066.715895,    4707.809175
25.50,    11193905.374248,    4838.658353
25.60,    11198863.877694,    4958.503446
25.70,    11203194.970944,    4331.093251
25.80,    11207665.047407,    4470.076463
25.90,    11212279.430686,    4614.383279
26.00,    11217003.422470,    4723.991784
26.10,    11221813.734352,    4810.311882
26.20,    11226765.474898,    4951.740546
26.30,    11231886.887448,    5121.412549
26.40,    11236753.149976,    4866.262528
26.50,    11241840.406457,    5087.256481
26.60,    11247191.174433,    5350.767976
26.70,    11251851.867171,    4660.692738
26.80,    11256807.393928,    4955.526757
26.90,    11262042.420271,    5235.026343
27.00,    11267552.747377,    5510.327106
27.10,    11273302.841711,    5750.094334
27.20,    11279302.708520,    5999.866809
27.30,    11284776.115437,    5473.406917
27.40,    11289393.507604,    4617.392167
27.50,    11294467.672342,    5074.164738
27.60,    11299849.745326,    5382.072984
27.70,    11305550.415860,    5700.670533
27.80,    11311553.435566,    6003.019706
27.90,    11317979.298585,    6425.863019
28.00,    11322831.340295,    4852.041709
28.10,    11328064.135976,    5232.795681
28.20,    11333775.742293,    5711.606317
28.30,    11340018.202426,    6242.460133
28.40,    11346810.179279,    6791.976853
28.50,    11352515.922115,    5705.742836
28.60,    11358699.998538,    6184.076423
28.70,    11365348.763412,    6648.764873
28.80,    11371276.106267,    5927.342855
28.90,    11377693.993388,    6417.887121
29.00,    11384459.961629,    6765.968241
29.10,    11390598.551031,    6138.589402
29.20,    11397179.219727,    6580.668696
29.30,    11404173.489890,    6994.270162
29.40,    11411744.623429,    7571.133539
29.50,    11419917.865971,    8173.242542
29.60,    11428737.267223,    8819.401252
29.70,    11438149.467973,    9412.200750
29.80,    11447985.611003,    9836.143030
29.90,    11458201.053713,    10215.442711
30.00,    11468788.005726,    10586.952013
30.10,    11479756.726942,    10968.721216
30.20,    11490127.145281,    10370.418338
30.30,    11500961.879698,    10834.734417
30.40,    11511574.748315,    10612.868617
30.50,    11522751.637760,    11176.889445
30.60,    11533229.840126,    10478.202365
30.70,    11544142.836386,    10912.996261
30.80,    11555515.047945,    11372.211559
30.90,    11566655.136908,    11140.088962
31.00,    11578212.757821,    11557.620913
31.10,    11589899.203382,    11686.445562
31.20,    11600599.977379,    10700.773997
31.30,    11611927.657653,    11327.680274
31.40,    11622545.159798,    10617.502145
31.50,    11631323.916251,    8778.756453
31.60,    11639762.149432,    8438.233180
31.70,    11648954.391354,    9192.241922
31.80,    11658226.496075,    9272.104721
31.90,    11668021.809836,    9795.313761
32.00,    11678334.790989,    10312.981153
32.10,    11689190.897004,    10856.106015
32.20,    11700649.495307,    11458.598304
32.30,    11711854.505308,    11205.010000
32.40,    11723630.680547,    11776.175239
32.50,    11734061.151972,    10430.471425
32.60,    11744698.183089,    10637.031117
32.70,    11754056.160146,    9357.977057
32.80,    11764008.811309,    9952.651163
32.90,    11774415.418289,    10406.606980
33.00,    11785397.693356,    10982.275068
33.10,    11797039.974165,    11642.280809
33.20,    11808524.830257,    11484.856092
33.30,    11820737.980094,    12213.149837
33.40,    11832959.521752,    12221.541658
33.50,    11845460.623559,    12501.101808
33.60,    11858677.196129,    13216.572569
33.70,    11872547.466279,    13870.270151
33.80,    11885256.136009,    12708.669730
33.90,    11898776.093387,    13519.957378
34.00,    11909771.876157,    10995.782770
34.10,    11921163.339817,    11391.463660
34.20,    11930930.282074,    9766.942258
34.30,    11940771.864947,    9841.582873
34.40,    11950392.879100,    9621.014152
34.50,    11957457.795973,    7064.916873
34.60,    11964535.402231,    7077.606258
34.70,    11969146.386321,    4610.984090
34.80,    11973464.699093,    4318.312772
34.90,    11976405.843384,    2941.144290
35.00,    11979115.668421,    2709.825038
35.10,    11981559.630196,    2443.961774
35.20,    11983800.649770,    2241.019575
35.30,    11985776.626939,    1975.977169
35.40,    11987561.081277,    1784.454337
35.50,    11989185.092655,    1624.011378
35.60,    11990648.283715,    1463.191060
35.70,    11992021.160740,    1372.877025
35.80,    11993231.626712,    1210.465972
35.90,    11994329.613345,    1097.986633
36.00,    11995288.851969,    959.238624
36.10,    11996139.207197,    850.355228
36.20,    11996828.521013,    689.313816
36.30,    11997372.159122,    543.638109
36.40,    11997731.287880,    359.128758
36.50,    11998053.340112,    322.052232
36.60,    11998267.370796,    214.030684
36.70,    11998419.099248,    151.728452
36.80,    11998530.574435,    111.475187
36.90,    11998595.171339,    64.596904
37.00,    11998605.343795,    10.172456
37.10,    11998605.343795,    0.000000
37.20,    11998605.343795,    0.000000
37.30,    11998605.343795,    0.000000
37.40,    11998605.343795,    0.000000
37.50,    11998605.343795,    0.000000
37.60,    11998605.343795,    0.000000
37.70,    11998605.343795,    0.000000
37.80,    11998605.343795,    0.000000
37.90,    11998605.343795,    0.000000
38.00,    11998605.343795,    0.000000
38.10,    11998605.343795,    0.000000
38.20,    11998605.343795,    0.000000
38.30,    11998605.343795,    0.000000
38.40,    11998605.343795,    0.000000
38.50,    11998605.343795,    0.000000
38.60,    11998605.343795,    0.000000
38.70,    11998605.343795,    0.000000
38.80,    11998605.343795,    0.000000
38.90,    11998605.343795,    0.000000
39.00,    11998605.343795,    0.000000
39.10,    11998605.343795,    0.000000
39.20,    11998605.343795,    0.000000
39.30,    11998605.343795,    0.000000
39.40,    11998605.343795,    0.000000
39.50,    11998605.343795,    0.000000
39.60,    11998605.343795,    0.000000
39.70,    11998605.343795,    0.000000
39.80,    11998605.343795,    0.000000
39.90,    11998605.343795,    0.000000
40.00,    11998605.343795,    0.000000
40.10,    11998605.343795,    0.000000
40.20,    11998605.343795,    0.000000
40.30,    11998605.343795,    0.000000
40.40,    11998605.343795,    0.000000
40.50,    11998605.343795,    0.000000
40.60,    11998605.343795,    0.000000
40.70,    11998605.343795,    0.000000
40.80,    11998605.343795,    0.000000
40.90,    11998605.343795,    0.000000
41.00,    11998605.343795,    0.000000
41.10,    11998605.343795,    0.000000
41.20,    11998605.343795,    0.000000
41.30,    11998605.343795,    0.000000
