time, current, entrained
0.10,    10113566.210787,    0.000000
0.20,    10113566.210787,    0.000000
0.30,    10113566.210787,    0.000000
0.40,    10113566.210787,    0.000000
0.50,    10113566.210787,    0.000000
0.60,    10113566.210787,    0.000000
0.70,    10113566.210787,    0.000000
0.80,    10113566.210787,    0.000000
0.90,    10113566.210787,    0.000000
1.00,    10113566.210787,    0.000000
1.10,    10113566.210787,    0.000000
1.20,    10113566.210787,    0.000000
1.30,    10113566.210787,    0.000000
1.40,    10113566.210787,    0.000000
1.50,    10113566.210787,    0.000000
1.60,    10113566.210787,    0.000000
1.70,    10113566.210787,    0.000000
1.80,    10113566.210787,    0.000000
1.90,    10113566.210787,    0.000000
2.00,    10113566.210787,    0.000000
2.10,    10113566.210787,    0.000000
2.20,    10113566.210787,    0.000000
2.30,    10113566.210787,    0.000000
2.40,    10113566.210787,    0.000000
2.50,    10113566.210787,    0.000000
2.60,    10113566.210787,    0.000000
2.70,    10113566.210787,    0.000000
2.80,    10113566.210787,    0.000000
2.90,    10113566.210787,    0.000000
3.00,    10113566.210787,    0.000000
3.10,    10113566.210787,    0.000000
3.20,    10113566.210787,    0.000000
3.30,    10113566.210787,    0.000000
3.40,    10113566.210787,    0.000000
3.50,    10113566.210787,    0.000000
3.60,    10113566.210787,    0.000000
3.70,    10113566.210787,    0.000000
3.80,    10113566.210787,    0.000000
3.90,    10113566.210787,    0.000000
4.00,    10113566.210787,    0.000000
4.10,    10113566.210787,    0.000000
4.20,    10113566.210787,    0.000000
4.30,    10113566.210787,    0.000000
4.40,    10113566.210787,    0.000000
4.50,    10113566.210787,    0.000000
4.60,    10113566.210787,    0.000000
4.70,    10113566.210787,    0.000000
4.80,    10113567.627851,    1.417064
4.90,    10113572.880317,    5.252466
5.00,    10113581.146224,    8.265907
5.10,    10113594.578412,    13.432187
5.20,    10113614.474394,    19.895982
5.30,    10113643.050275,    28.575880
5.40,    10113682.748053,    39.697778
5.50,    10113732.451794,    49.703741
5.60,    10113792.516441,    60.064648
5.70,    10113864.616817,    72.100376
5.80,    10113953.126504,    88.509687
5.90,    10114050.181059,    97.054555
6.00,    10114161.861262,    111.680203
6.10,    10114281.516174,    119.654912
6.20,    10114417.146591,    135.630416
6.30,    10114567.718965,    150.572374
6.40,    10114732.876446,    165.157480
6.50,    10114911.625194,    178.748748
6.60,    10115111.923948,    200.298754
6.70,    10115326.664085,    214.740137
6.80,    10115566.845582,    240.181497
6.90,    10115818.257684,    251.412102
7.00,    10116091.417582,    273.159898
7.10,    10116387.519356,    296.101774
7.20,    10116710.803355,    323.283998
7.30,    10117050.662522,    339.859168
7.40,    10117426.850269,    376.187746
7.50,    10117832.511138,    405.660869
7.60,    10118268.380436,    435.869298
7.70,    10118742.066940,    473.686505
7.80,    10119249.595636,    507.528695
7.90,    10119808.078629,    558.482994
8.00,    10120408.795114,    600.716485
8.10,    10121061.285390,    652.490276
8.20,    10121760.928347,    699.642957
8.30,    10122503.656830,    742.728483
8.40,    10123293.716505,    790.059675
8.50,    10124147.573924,    853.857420
8.60,    10125053.495555,    905.921631
8.70,    10126042.653036,    989.157481
8.80,    10127100.785370,    1058.132334
8.90,    10128217.836838,    1117.051468
9.00,    10129412.831143,    1194.994304
9.10,    10130675.273941,    1262.442798
9.20,    10132026.750697,    1351.476756
9.30,    10133461.594192,    1434.843495
9.40,    10134983.833270,    1522.239078
9.50,    10136584.522501,    1600.689231
9.60,    10138263.418796,    1678.896294
9.70,    10140013.460705,    1750.041910
9.80,    10141844.385080,    1830.924375
9.90,    10143744.637732,    1900.252652
10.00,    10145732.431946,    1987.794214
10.10,    10147798.724764,    2066.292818
10.20,    10149962.753745,    2164.028982
10.30,    10152203.856169,    2241.102424
10.40,    10154537.740608,    2333.884438
10.50,    10156991.444898,    2453.704290
10.60,    10159540.499498,    2549.054600
10.70,    10162199.317855,    2658.818357
10.80,    10164993.472893,    2794.155038
10.90,    10167891.653042,    2898.180149
11.00,    10170915.190418,    3023.537376
11.10,    10174049.863213,    3134.672795
11.20,    10177332.361671,    3282.498459
11.30,    10180724.662844,    3392.301173
11.40,    10184249.271106,    3524.608262
11.50,    10187917.098930,    3667.827824
11.60,    10191715.690026,    3798.591096
11.70,    10195646.685012,    3930.994986
11.80,    10199733.174625,    4086.489613
11.90,    10203943.647951,    4210.473326
12.00,    10208289.743975,    4346.096023
12.10,    10212768.859765,    4479.115790
12.20,    10217401.995879,    4633.136115
12.30,    10222181.165916,    4779.170036
12.40,    10227086.456211,    4905.290296
12.50,    10232144.314215,    5057.858003
12.60,    10236964.129746,    4819.815532
12.70,    10241920.422458,    4956.292711
12.80,    10246549.504214,    4629.081756
12.90,    10251333.851025,    4784.346811
13.00,    10256260.823589,    4926.972564
13.10,    10261006.859429,    4746.035840
13.20,    10265897.032335,    4890.172906
13.30,    10270980.370079,    5083.337743
13.40,    10276203.607006,    5223.236927
13.50,    10281607.611398,    5404.004393
13.60,    10286119.836504,    4512.225105
13.70,    10290309.572123,    4189.735620
13.80,    10294642.072060,    4332.499937
13.90,    10299151.197783,    4509.125723
14.00,    10303842.944551,    4691.746768
14.10,    10308703.898754,    4860.954204
14.20,    10313744.063003,    5040.164249
14.30,    10318521.784924,    4777.721921
14.40,    10323465.101970,    4943.317045
14.50,    10328568.210464,    5103.108495
14.60,    10333337.329708,    4769.119244
14.70,    10338249.274338,    4911.944630
14.80,    10343307.745308,    5058.470970
14.90,    10348498.243367,    5190.498059
15.00,    10353858.935617,    5360.692250
15.10,    10359048.618353,    5189.682736
15.20,    10364395.451716,    5346.833363
15.30,    10369466.795508,    5071.343792
15.40,    10374758.479709,    5291.684202
15.50,    10379672.449549,    4913.969840
15.60,    10384804.203907,    5131.754358
15.70,    10390150.469387,    5346.265480
15.80,    10395671.193304,    5520.723917
15.90,    10401362.919144,    5691.725840
16.00,    10407221.148495,    5858.229351
16.10,    10413237.535055,    6016.386560
16.20,    10419431.755034,    6194.219979
16.30,    10425798.565312,    6366.810278
16.40,    10431840.772828,    6042.207517
16.50,    10438073.440904,    6232.668076
16.60,    10444455.557035,    6382.116131
16.70,    10450593.459012,    6137.901977
16.80,    10456513.412216,    5919.953205
16.90,    10462625.937584,    6112.525368
17.00,    10468886.121587,    6260.184002
17.10,    10475373.646849,    6487.525262
17.20,    10481412.647802,    6039.000953
17.30,    10487662.713880,    6250.066078
17.40,    10494128.300845,    6465.586965
17.50,    10500293.595383,    6165.294538
17.60,    10506241.289261,    5947.693879
17.70,    10512309.694090,    6068.404829
17.80,    10518546.931280,    6237.237190
17.90,    10524978.259059,    6431.327778
18.00,    10531607.584211,    6629.325152
18.10,    10537782.493601,    6174.909390
18.20,    10544159.885281,    6377.391680
18.30,    10550363.028875,    6203.143594
18.40,    10556483.330325,    6120.301450
18.50,    10562784.058321,    6300.727997
18.60,    10568770.246993,    5986.188672
18.70,    10574900.793563,    6130.546570
18.80,    10581182.287634,    6281.494071
18.90,    10587566.064297,    6383.776663
19.00,    10594071.039382,    6504.975085
19.10,    10600234.429351,    6163.389969
19.20,    10605875.758385,    5641.329034
19.30,    10611691.480705,    5815.722320
19.40,    10617624.897623,    5933.416918
19.50,    10623675.755593,    6050.857970
19.60,    10629825.282790,    6149.527197
19.70,    10636085.477413,    6260.194623
19.80,    10642082.836948,    5997.359535
19.90,    10648165.676667,    6082.839719
20.00,    10654370.437600,    6204.760933
20.10,    10659384.101394,    5013.663794
20.20,    10664550.740805,    5166.639411
20.30,    10669917.143581,    5366.402776
20.40,    10675048.535678,    5131.392097
20.50,    10680362.947264,    5314.411586
20.60,    10685760.038920,    5397.091656
20.70,    10691330.741594,    5570.702674
20.80,    10696597.756154,    5267.014561
20.90,    10701975.784120,    5378.027966
21.00,    10707627.944326,    5652.160205
21.10,    10713177.081137,    5549.136811
21.20,    10718453.651075,    5276.569938
21.30,    10723887.969961,    5434.318886
21.40,    10729042.712888,    5154.742927
21.50,    10734415.021126,    5372.308238
21.60,    10739928.594584,    5513.573457
21.70,    10745586.332417,    5657.737833
21.80,    10751159.965637,    5573.633221
21.90,    10756885.633779,    5725.668142
22.00,    10762796.819363,    5911.185584
22.10,    10768898.792092,    6101.972729
22.20,    10775158.914177,    6260.122085
22.30,    10780653.189887,    5494.275710
22.40,    10786318.087857,    5664.897970
22.50,    10792218.006485,    5899.918628
22.60,    10798374.403140,    6156.396655
22.70,    10804786.915115,    6412.511975
22.80,    10810762.889276,    5975.974160
22.90,    10817031.498527,    6268.609251
23.00,    10823484.279337,    6452.780810
23.10,    10830133.603629,    6649.324292
23.20,    10835536.162969,    5402.559340
23.30,    10841283.554795,    5747.391826
23.40,    10847037.581664,    5754.026869
23.50,    10853015.564637,    5977.982973
23.60,    10859209.161764,    6193.597127
23.70,    10865600.061777,    6390.900013
23.80,    10872061.082233,    6461.020456
23.90,    10877815.737527,    5754.655294
24.00,    10883776.563112,    5960.825585
24.10,    10889367.283540,    5590.720428
24.20,    10895204.451806,    5837.168266
24.30,    10901273.081885,    6068.630079
24.40,    10907624.301805,    6351.219920
24.50,    10914171.121166,    6546.819361
24.60,    10920887.771660,    6716.650495
24.70,    10927794.293231,    6906.521570
24.80,    10934218.031074,    6423.737844
24.90,    10940976.104418,    6758.073344
25.00,    10948001.598385,    7025.493967
25.10,    10954700.360218,    6698.761833
25.20,    10961689.612482,    6989.252263
25.30,    10968684.242892,    6994.630410
25.40,    10975927.547482,    7243.304590
25.50,    10983487.114725,    7559.567243
25.60,    10991069.988122,    7582.873397
25.70,    10998998.784881,    7928.796759
25.80,    11006600.645743,    7601.860862
25.90,    11014488.187749,    7887.542006
26.00,    11022648.654398,    8160.466650
26.10,    11031029.102202,    8380.447804
26.20,    11039122.025369,    8092.923167
26.30,    11046777.452271,    7655.426901
26.40,    11053587.628287,    6810.176016
26.50,    11060628.083540,    7040.455253
26.60,    11067771.227212,    7143.143672
26.70,    11075026.711764,    7255.484552
26.80,    11080206.637718,    5179.925954
26.90,    11085537.250954,    5330.613236
27.00,    11090951.873740,    5414.622785
27.10,    11096555.045466,    5603.171726
27.20,    11102423.157729,    5868.112263
27.30,    11108509.196800,    6086.039072
27.40,    11113913.408722,    5404.211922
27.50,    11119565.826545,    5652.417823
27.60,    11125418.411595,    5852.585051
27.70,    11131548.799585,    6130.387990
27.80,    11137195.327830,    5646.528245
27.90,    11143086.339157,    5891.011327
28.00,    11149230.784363,    6144.445207
28.10,    11155342.238865,    6111.454502
28.20,    11161735.742783,    6393.503918
28.30,    11168401.003637,    6665.260854
28.40,    11175286.964753,    6885.961116
28.50,    11182431.847578,    7144.882825
28.60,    11189938.782383,    7506.934805
28.70,    11197548.533287,    7609.750904
28.80,    11205464.606375,    7916.073088
28.90,    11213649.603649,    8184.997274
29.00,    11222014.682232,    8365.078583
29.10,    11230600.214382,    8585.532149
29.20,    11239436.591565,    8836.377183
29.30,    11247776.760349,    8340.168784
29.40,    11256438.427720,    8661.667371
29.50,    11264922.235630,    8483.807910
29.60,    11272109.826092,    7187.590462
29.70,    11278031.855535,    5922.029443
29.80,    11284150.729306,    6118.873771
29.90,    11290622.701415,    6471.972110
30.00,    11297091.551664,    6468.850248
30.10,    11303863.923359,    6772.371695
30.20,    11310906.045702,    7042.122344
30.30,    11318116.643487,    7210.597785
30.40,    11324695.356543,    6578.713055
30.50,    11331465.771533,    6770.414990
30.60,    11337609.048148,    6143.276615
30.70,    11344014.154280,    6405.106133
30.80,    11350593.649781,    6579.495501
30.90,    11357363.094547,    6769.444766
31.00,    11364293.726086,    6930.631538
31.10,    11371263.276502,    6969.550416
31.20,    11377642.898800,    6379.622298
31.30,    11384225.246468,    6582.347667
31.40,    11391048.867462,    6823.620994
31.50,    11398189.595301,    7140.727839
31.60,    11405487.364567,    7297.769266
31.70,    11412702.030978,    7214.666411
31.80,    11419449.856897,    6747.825919
31.90,    11426454.285254,    7004.428357
32.00,    11432934.381445,    6480.096191
32.10,    11439659.804398,    6725.422953
32.20,    11446569.522637,    6909.718239
32.30,    11453742.560134,    7173.037496
32.40,    11461103.162008,    7360.601874
32.50,    11468661.727858,    7558.565850
32.60,    11476341.951835,    7680.223977
32.70,    11484227.800575,    7885.848740
32.80,    11491686.734467,    7458.933892
32.90,    11499452.885240,    7766.150773
33.00,    11507503.843795,    8050.958554
33.10,    11515147.776742,    7643.932947
33.20,    11523028.829536,    7881.052795
33.30,    11531152.855639,    8124.026102
33.40,    11539228.205171,    8075.349532
33.50,    11546924.101255,    7695.896085
33.60,    11554930.973443,    8006.872188
33.70,    11563251.552590,    8320.579146
33.80,    11571472.499116,    8220.946526
33.90,    11579943.597452,    8471.098337
34.00,    11588335.119921,    8391.522468
34.10,    11595615.238137,    7280.118216
34.20,    11603206.816803,    7591.578666
34.30,    11611074.495261,    7867.678458
34.40,    11618859.852094,    7785.356833
34.50,    11626793.303844,    7933.451750
34.60,    11634991.229548,    8197.925703
34.70,    11642589.789004,    7598.559457
34.80,    11649943.163611,    7353.374607
34.90,    11657509.606737,    7566.443126
35.00,    11665372.246189,    7862.639452
35.10,    11673494.342864,    8122.096676
35.20,    11681434.148925,    7939.806061
35.30,    11688191.040407,    6756.891483
35.40,    11695141.906202,    6950.865795
35.50,    11702351.912384,    7210.006182
35.60,    11709779.905107,    7427.992723
35.70,    11717024.769238,    7244.864131
35.80,    11723721.405505,    6696.636266
35.90,    11729844.609486,    6123.203981
36.00,    11736209.280844,    6364.671358
36.10,    11742325.959298,    6116.678455
36.20,    11748705.108111,    6379.148813
36.30,    11754748.837697,    6043.729586
36.40,    11761048.230220,    6299.392523
36.50,    11767542.014159,    6493.783939
36.60,    11774198.819206,    6656.805047
36.70,    11780318.829257,    6120.010052
36.80,    11786648.608606,    6329.779348
36.90,    11793212.397929,    6563.789323
37.00,    11800034.496792,    6822.098863
37.10,    11806170.946750,    6136.449958
37.20,    11812519.469212,    6348.522462
37.30,    11819053.081874,    6533.612662
37.40,    11825108.306945,    6055.225071
37.50,    11831390.722898,    6282.415953
37.60,    11837978.441676,    6587.718778
37.70,    11844770.045787,    6791.604110
37.80,    11851194.911424,    6424.865637
37.90,    11857804.466815,    6609.555392
38.00,    11864594.778915,    6790.312100
38.10,    11870880.072670,    6285.293754
38.20,    11877369.476703,    6489.404033
38.30,    11883517.389263,    6147.912561
38.40,    11889626.287676,    6108.898412
38.50,    11895957.429347,    6331.141672
38.60,    11902477.619687,    6520.190339
38.70,    11908460.473640,    5982.853953
38.80,    11914137.590715,    5677.117075
38.90,    11920053.169516,    5915.578801
39.00,    11926212.416057,    6159.246542
39.10,    11932609.872372,    6397.456315
39.20,    11939198.869246,    6588.996874
39.30,    11945380.057303,    6181.188057
39.40,    11951826.928631,    6446.871328
39.50,    11957871.257461,    6044.328830
39.60,    11964202.358179,    6331.100718
39.70,    11970739.797698,    6537.439519
39.80,    11976832.481643,    6092.683945
39.90,    11983116.381588,    6283.899945
40.00,    11989562.979588,    6446.598001
40.10,    11996232.700318,    6669.720730
40.20,    12002454.248666,    6221.548348
40.30,    12008011.024818,    5556.776152
40.40,    12013771.015275,    5759.990457
40.50,    12019701.589956,    5930.574682
40.60,    12025767.513018,    6065.923061
40.70,    12031206.647056,    5439.134038
40.80,    12036045.872085,    4839.225028
40.90,    12041092.494392,    5046.622307
41.00,    12046336.879077,    5244.384685
