nout	nsum	z0_vflow1	z0vchange1	z0_vflow2	z0vchange2	z0_vflow3	z0vchange3
0	0	41600.000	0	0.000	0	0.000	0
1	10.2	41572.773	0.000	0.000	0.000	0.000	0.000
2	20.2	41499.336	0.000	0.000	0.000	0.000	0.000
3	30.2	41249.480	0.000	0.000	0.000	0.000	0.000
4	40.2	40940.340	0.000	0.000	0.000	0.000	0.000
5	50.2	40693.098	0.000	0.000	0.000	0.000	0.000
6	60.1	40537.859	0.000	0.000	0.000	0.000	0.000
7	70.2	40415.277	0.000	0.000	0.000	0.000	0.000
8	80.3	40303.750	0.000	0.000	0.000	0.000	0.000
9	90.6	40195.000	0.000	0.000	0.000	0.000	0.000
10	100.4	40104.773	0.000	0.000	0.000	0.000	0.000
11	110.7	39996.789	0.000	0.000	0.000	0.000	0.000
12	120.3	39746.914	0.000	0.000	0.000	0.000	0.000
13	130.3	39219.051	0.000	0.000	0.000	0.000	0.000
14	140.3	38708.238	0.000	0.000	0.000	0.000	0.000
15	150.2	38341.090	0.000	0.000	0.000	0.000	0.000
16	160.4	38022.320	0.000	0.000	0.000	0.000	0.000
17	170.5	37717.688	0.000	0.000	0.000	0.000	0.000
18	180.7	37478.945	0.000	0.000	0.000	0.000	0.000
19	190.2	37278.328	0.000	0.000	0.000	0.000	0.000
20	200.1	37075.477	0.000	0.000	0.000	0.000	0.000
21	210.8	36877.711	0.000	0.000	0.000	0.000	0.000
22	220.7	36715.160	0.000	0.000	0.000	0.000	0.000
23	230.8	36557.996	0.000	0.000	0.000	0.000	0.000
24	241.2	36404.102	0.000	0.000	0.000	0.000	0.000
25	250.5	36284.090	0.000	0.000	0.000	0.000	0.000
26	261.3	36151.195	0.000	0.000	0.000	0.000	0.000
27	270.6	36039.836	0.000	0.000	0.000	0.000	0.000
28	281.2	35923.691	0.000	0.000	0.000	0.000	0.000
29	290.4	35829.340	0.000	0.000	0.000	0.000	0.000
30	301.0	35727.488	0.000	0.000	0.000	0.000	0.000
