nout	nsum	cfl	tlength	tsum	dmax	vmax	volume	ekin
R	-----	-----	-----	-----	*1.000	-----	*41600.000	-----
0	0	-----	-----	0.0	1.000	0.00	41600.000	
1	13	0.397	32.7	10.1	2.009	17.71	41569.410	7722769408
2	30	0.395	30.4	20.2	2.654	20.07	41503.117	7364697088
3	47	0.399	32.6	30.6	2.857	16.03	41388.668	5469330432
4	63	0.398	32.7	40.4	2.320	17.75	41213.996	5254121472
5	78	0.392	34.7	50.3	2.408	14.31	41023.430	4140569856
6	92	0.383	35.3	60.0	2.432	14.17	40845.410	3620363008
7	106	0.383	38.0	70.1	2.317	11.57	40696.492	2959137280
8	120	0.396	31.5	80.6	2.163	11.72	40580.316	2498850560
9	132	0.390	40.0	90.1	1.923	12.67	40511.973	2439445504
10	145	0.384	43.3	100.6	1.920	10.75	40447.043	2126459392
11	156	0.383	43.9	110.2	1.655	10.18	40395.664	1954689792
12	167	0.362	46.0	120.0	1.486	9.36	40346.512	1682644352
13	178	0.377	52.1	131.0	1.192	8.77	40300.406	1390655104
14	187	0.366	58.8	141.2	1.063	8.36	40259.047	1140658816
15	195	0.362	62.3	150.9	1.004	7.98	40220.359	924409728
16	203	0.365	66.0	161.3	1.002	7.60	40180.113	742635136
17	210	0.396	59.2	170.6	0.964	10.66	40150.508	682026688
18	219	0.400	58.6	180.0	0.868	10.79	40100.047	700522560
19	228	0.396	60.7	190.3	0.826	10.47	40042.816	661632704
20	237	0.395	62.3	200.9	0.771	10.31	39968.508	594396416
21	245	0.397	64.5	210.6	0.882	10.04	39870.297	520969504
22	253	0.398	66.7	220.6	0.946	9.72	39743.906	455181760
23	261	0.400	52.3	230.8	0.942	9.09	39581.770	400925056
24	269	0.328	53.2	240.2	0.900	8.99	39415.332	375207488
25	278	0.323	55.9	251.0	0.884	8.60	39238.445	351502624
26	286	0.322	58.2	261.2	0.853	8.30	39087.422	321810624
27	293	0.320	59.9	270.3	0.820	8.08	38959.543	298793696
28	301	0.319	61.7	281.1	0.777	7.81	38836.102	275054816
29	308	0.316	63.3	290.8	0.738	7.62	38746.375	253604544
30	315	0.317	65.1	300.8	0.698	7.43	38669.102	230716592
