nout	nsum	cfl	tlength	tsum	dmax1	vmax1	dmax2	vmax2	dmax3	vmax3	volume1	volume2	volume3	ekin
R	-----	-----	-----	-----	*1.000	-----	*0.000	-----	*0.000	-----	*41600.000	*0.000	*0.000	-----
0	0	-----	-----	0.0	1.000	0.00	0.000	0.00	0.000	0.00	41600.000	0.000	0.000	-----
1	7	0.388	37.4	5.5	1.531	18.70	0.000	0.00	0.000	0.00	41587.379	0.000	0.000	12207025152
2	15	0.389	26.7	10.2	2.485	25.70	0.000	0.00	0.000	0.00	41572.773	0.000	0.000	18243526656
3	25	0.382	25.4	15.2	3.165	27.59	0.000	0.00	0.000	0.00	41547.141	0.000	0.000	17000842240
4	34	0.388	31.1	20.2	3.536	22.87	0.000	0.00	0.000	0.00	41499.336	0.000	0.000	14444764160
5	43	0.391	27.8	25.4	4.309	22.75	0.000	0.00	0.000	0.00	41395.828	0.000	0.000	12283158528
6	52	0.400	30.3	30.2	4.136	20.98	0.000	0.00	0.000	0.00	41249.480	0.000	0.000	10999770112
7	61	0.396	30.0	35.3	3.565	22.27	0.000	0.00	0.000	0.00	41087.660	0.000	0.000	10694415360
8	69	0.395	33.2	40.2	3.737	21.28	0.000	0.00	0.000	0.00	40940.340	0.000	0.000	9283932160
9	77	0.388	32.4	45.3	3.517	19.45	0.000	0.00	0.000	0.00	40803.895	0.000	0.000	8527906816
10	85	0.400	25.4	50.2	3.526	21.00	0.000	0.00	0.000	0.00	40693.098	0.000	0.000	7871809536
11	93	0.398	36.5	55.2	3.658	17.33	0.000	0.00	0.000	0.00	40609.031	0.000	0.000	7394165248
12	100	0.387	36.0	60.1	3.776	16.46	0.000	0.00	0.000	0.00	40537.859	0.000	0.000	7006607360
13	108	0.399	27.5	65.3	3.430	19.01	0.000	0.00	0.000	0.00	40470.148	0.000	0.000	6208268288
14	115	0.393	28.9	70.2	3.213	16.19	0.000	0.00	0.000	0.00	40415.277	0.000	0.000	6057749504
15	123	0.396	36.2	75.4	3.284	17.64	0.000	0.00	0.000	0.00	40356.156	0.000	0.000	6373824512
16	130	0.397	38.1	80.3	3.428	17.89	0.000	0.00	0.000	0.00	40303.750	0.000	0.000	5788744704
17	137	0.399	30.2	85.3	2.836	15.71	0.000	0.00	0.000	0.00	40250.227	0.000	0.000	5311345664
18	144	0.395	39.4	90.6	2.987	15.00	0.000	0.00	0.000	0.00	40195.000	0.000	0.000	5357192192
19	150	0.383	41.5	95.3	2.792	14.22	0.000	0.00	0.000	0.00	40147.648	0.000	0.000	4846756352
20	156	0.375	45.7	100.4	2.439	13.73	0.000	0.00	0.000	0.00	40104.773	0.000	0.000	4468163584
21	162	0.386	37.2	105.8	2.246	13.39	0.000	0.00	0.000	0.00	40052.117	0.000	0.000	4039295488
22	167	0.396	50.6	110.7	2.028	13.42	0.000	0.00	0.000	0.00	39996.789	0.000	0.000	3775412224
23	173	0.394	37.7	115.8	1.732	12.81	0.000	0.00	0.000	0.00	39895.879	0.000	0.000	3372954624
24	178	0.396	53.4	120.3	1.595	12.66	0.000	0.00	0.000	0.00	39746.914	0.000	0.000	3102230528
25	183	0.389	55.5	125.5	1.330	12.25	0.000	0.00	0.000	0.00	39515.016	0.000	0.000	2949827584
26	189	0.400	36.5	130.3	1.635	20.99	0.000	0.00	0.000	0.00	39219.051	0.000	0.000	3646204672
27	196	0.393	37.1	135.1	1.854	17.55	0.000	0.00	0.000	0.00	38946.383	0.000	0.000	3744883968
