nout	nsum	z0_vflow1	z0vchange1	z0_vflow2	z0vchange2	z0_vflow3	z0vchange3
0	0	41600.000	0	0.000	0	0.000	0
1	5.5	41587.379	0.000	0.000	0.000	0.000	0.000
2	10.2	41572.773	0.000	0.000	0.000	0.000	0.000
3	15.2	41547.141	0.000	0.000	0.000	0.000	0.000
4	20.2	41499.336	0.000	0.000	0.000	0.000	0.000
5	25.4	41395.828	0.000	0.000	0.000	0.000	0.000
6	30.2	41249.480	0.000	0.000	0.000	0.000	0.000
7	35.3	41087.660	0.000	0.000	0.000	0.000	0.000
8	40.2	40940.340	0.000	0.000	0.000	0.000	0.000
9	45.3	40803.895	0.000	0.000	0.000	0.000	0.000
10	50.2	40693.098	0.000	0.000	0.000	0.000	0.000
11	55.2	40609.031	0.000	0.000	0.000	0.000	0.000
12	60.1	40537.859	0.000	0.000	0.000	0.000	0.000
13	65.3	40470.148	0.000	0.000	0.000	0.000	0.000
14	70.2	40415.277	0.000	0.000	0.000	0.000	0.000
15	75.4	40356.156	0.000	0.000	0.000	0.000	0.000
16	80.3	40303.750	0.000	0.000	0.000	0.000	0.000
17	85.3	40250.227	0.000	0.000	0.000	0.000	0.000
18	90.6	40195.000	0.000	0.000	0.000	0.000	0.000
19	95.3	40147.648	0.000	0.000	0.000	0.000	0.000
20	100.4	40104.773	0.000	0.000	0.000	0.000	0.000
21	105.8	40052.117	0.000	0.000	0.000	0.000	0.000
22	110.7	39996.789	0.000	0.000	0.000	0.000	0.000
23	115.8	39895.879	0.000	0.000	0.000	0.000	0.000
24	120.3	39746.914	0.000	0.000	0.000	0.000	0.000
25	125.5	39515.016	0.000	0.000	0.000	0.000	0.000
26	130.3	39219.051	0.000	0.000	0.000	0.000	0.000
27	135.1	38946.383	0.000	0.000	0.000	0.000	0.000
28	140.3	38708.238	0.000	0.000	0.000	0.000	0.000
29	145.4	38508.984	0.000	0.000	0.000	0.000	0.000
30	150.2	38341.090	0.000	0.000	0.000	0.000	0.000
31	155.2	38178.367	0.000	0.000	0.000	0.000	0.000
32	160.4	38022.320	0.000	0.000	0.000	0.000	0.000
33	165.4	37868.410	0.000	0.000	0.000	0.000	0.000
34	170.5	37717.688	0.000	0.000	0.000	0.000	0.000
35	175.1	37599.473	0.000	0.000	0.000	0.000	0.000
36	180.7	37478.945	0.000	0.000	0.000	0.000	0.000
37	185.4	37378.223	0.000	0.000	0.000	0.000	0.000
38	190.2	37278.328	0.000	0.000	0.000	0.000	0.000
39	195.3	37174.148	0.000	0.000	0.000	0.000	0.000
40	200.1	37075.477	0.000	0.000	0.000	0.000	0.000
41	206.0	36964.598	0.000	0.000	0.000	0.000	0.000
42	210.8	36877.711	0.000	0.000	0.000	0.000	0.000
43	215.7	36796.883	0.000	0.000	0.000	0.000	0.000
44	220.7	36715.160	0.000	0.000	0.000	0.000	0.000
45	225.7	36637.578	0.000	0.000	0.000	0.000	0.000
46	230.8	36557.996	0.000	0.000	0.000	0.000	0.000
47	235.9	36480.133	0.000	0.000	0.000	0.000	0.000
48	241.2	36404.102	0.000	0.000	0.000	0.000	0.000
49	245.1	36351.926	0.000	0.000	0.000	0.000	0.000
50	250.5	36284.090	0.000	0.000	0.000	0.000	0.000
51	255.8	36214.504	0.000	0.000	0.000	0.000	0.000
52	261.3	36151.195	0.000	0.000	0.000	0.000	0.000
53	265.3	36102.980	0.000	0.000	0.000	0.000	0.000
54	270.6	36039.836	0.000	0.000	0.000	0.000	0.000
55	275.9	35982.523	0.000	0.000	0.000	0.000	0.000
56	281.2	35923.691	0.000	0.000	0.000	0.000	0.000
57	285.2	35881.238	0.000	0.000	0.000	0.000	0.000
58	290.4	35829.340	0.000	0.000	0.000	0.000	0.000
59	295.7	35778.273	0.000	0.000	0.000	0.000	0.000
60	301.0	35727.488	0.000	0.000	0.000	0.000	0.000
61	306.3	35676.301	0.000	0.000	0.000	0.000	0.000
62	310.2	35642.793	0.000	0.000	0.000	0.000	0.000
63	315.4	35593.234	0.000	0.000	0.000	0.000	0.000
64	320.6	35544.430	0.000	0.000	0.000	0.000	0.000
65	325.7	35492.973	0.000	0.000	0.000	0.000	0.000
66	330.8	35450.793	0.000	0.000	0.000	0.000	0.000
67	335.9	35406.922	0.000	0.000	0.000	0.000	0.000
68	341.1	35364.344	0.000	0.000	0.000	0.000	0.000
69	346.3	35318.457	0.000	0.000	0.000	0.000	0.000
70	350.1	35281.840	0.000	0.000	0.000	0.000	0.000
71	355.3	35237.266	0.000	0.000	0.000	0.000	0.000
72	360.5	35190.188	0.000	0.000	0.000	0.000	0.000
73	365.6	35153.066	0.000	0.000	0.000	0.000	0.000
74	370.8	35113.047	0.000	0.000	0.000	0.000	0.000
75	375.9	35076.270	0.000	0.000	0.000	0.000	0.000
76	381.0	35037.133	0.000	0.000	0.000	0.000	0.000
77	386.1	34999.348	0.000	0.000	0.000	0.000	0.000
78	391.2	34961.602	0.000	0.000	0.000	0.000	0.000
79	396.2	34926.941	0.000	0.000	0.000	0.000	0.000
80	400.1	34900.633	0.000	0.000	0.000	0.000	0.000
