nout	nsum	cfl	tlength	tsum	dmax	vmax	volume	ekin
R	-----	-----	-----	-----	*1.000	-----	*41600.000	-----
0	0	-----	-----	0.0	1.000	0.00	41600.000	
1	8	0.392	28.4	5.4	1.777	26.23	41586.984	1404378624
2	18	0.386	24.3	10.4	2.567	28.78	41564.504	1561328000
3	28	0.388	26.2	15.3	3.347	29.05	41532.703	1371410176
4	38	0.385	25.5	20.4	3.879	25.93	41462.785	1043274496
5	48	0.395	27.1	25.4	4.049	25.96	41335.285	885345088
6	57	0.396	27.4	30.1	3.624	24.17	41194.898	868487040
7	66	0.399	28.6	35.1	3.846	26.23	41048.348	836313792
8	75	0.394	30.4	40.0	2.925	21.33	40906.965	739583168
9	84	0.399	32.4	45.3	3.006	24.56	40784.109	662498432
10	92	0.399	32.6	50.2	3.198	20.02	40693.277	631101248
11	100	0.390	31.2	55.1	3.251	20.36	40606.762	591331136
12	109	0.399	26.0	60.5	2.956	18.61	40520.703	518059264
13	117	0.398	32.1	65.6	3.135	20.76	40402.438	535984352
14	125	0.396	24.8	70.5	2.851	20.26	40236.828	481531104
15	133	0.397	35.2	75.5	2.807	19.68	40060.832	458293472
16	141	0.387	32.8	80.6	2.685	20.38	39901.543	457657760
17	148	0.391	35.3	85.3	2.341	17.49	39771.301	414837184
18	155	0.393	38.8	90.4	1.994	17.18	39632.465	398433504
19	162	0.392	39.1	95.7	1.853	16.83	39363.570	375358912
20	168	0.389	37.7	100.2	1.857	18.14	38842.660	378230208
21	175	0.399	38.4	105.4	1.810	16.46	38149.289	352921056
22	182	0.390	37.3	110.6	1.725	18.04	37579.348	344706208
23	189	0.399	36.3	115.3	1.920	21.91	37116.098	329868288
24	197	0.390	38.7	120.5	1.783	16.97	36683.832	296001536
25	203	0.388	40.3	125.1	1.844	16.43	36383.781	284257696
26	210	0.385	43.0	130.7	1.465	15.26	36057.020	261910288
27	216	0.395	43.2	135.7	1.315	15.30	35786.727	258189808
28	222	0.399	44.1	140.8	1.204	17.27	35519.637	257697152
29	228	0.400	30.0	145.3	1.311	18.73	35258.145	244550112
30	234	0.400	28.5	150.1	1.146	17.52	35005.105	232608224
31	240	0.379	50.0	155.5	1.055	15.22	34737.000	222388576
32	245	0.384	49.1	160.4	1.012	14.85	34506.703	216911824
33	250	0.381	48.8	165.3	1.067	17.15	34284.938	218561568
34	255	0.379	51.2	170.4	1.155	15.75	34068.160	204262992
35	260	0.380	53.1	175.6	1.044	16.30	33860.590	190174320
36	265	0.379	54.1	180.9	0.963	15.20	33659.262	180789120
37	269	0.388	62.8	185.4	0.946	14.03	33506.102	173672656
38	273	0.390	64.3	190.3	0.892	12.96	33357.547	166248304
39	277	0.381	60.6	195.3	0.856	13.16	33209.035	163443184
40	282	0.393	68.2	201.3	1.081	12.22	33030.504	144314096
41	286	0.387	68.4	206.3	1.035	11.97	32895.684	124883368
42	289	0.392	70.2	210.3	0.848	12.07	32795.598	113927656
43	293	0.378	69.1	215.7	0.697	11.24	32659.631	102117976
44	297	0.396	73.2	221.3	1.020	11.16	32528.916	87013680
45	300	0.384	74.2	225.6	0.979	11.42	32431.320	79678624
46	304	0.386	75.1	231.3	0.883	10.69	32317.562	69343736
47	307	0.371	76.7	235.8	0.954	10.55	32224.367	62837780
48	310	0.377	78.6	240.4	0.869	11.16	32133.637	58585036
49	314	0.392	79.9	246.5	0.947	10.19	32016.268	50406152
50	317	0.381	80.6	251.3	0.872	9.99	31927.350	47215740
51	320	0.398	83.4	256.1	0.924	9.85	31840.631	42271328
52	323	0.375	61.9	260.8	0.882	10.13	31756.760	39082964
53	326	0.391	84.9	265.4	0.902	9.06	31681.080	35497516
54	329	0.388	87.6	270.6	0.903	9.76	31596.041	33850708
55	332	0.393	66.6	275.2	0.879	7.90	31522.967	29712008
56	335	0.382	92.5	280.5	0.934	9.27	31438.350	28401774
57	338	0.392	92.7	285.7	0.911	8.38	31358.293	25413106
58	341	0.379	94.0	291.2	0.946	7.35	31276.252	23615056
59	344	0.398	96.2	296.7	0.925	7.41	31198.379	21669834
60	346	0.390	98.0	300.4	0.921	7.39	31150.615	20406406
61	349	0.385	73.5	305.7	0.919	4.62	31087.084	18594474
62	352	0.329	72.0	310.6	0.908	4.74	31029.420	16991576
63	355	0.328	74.2	315.6	0.895	4.29	30974.592	15640098
64	358	0.334	76.2	320.7	0.892	3.97	30921.469	14564047
65	361	0.332	75.7	325.9	0.897	5.87	30876.115	13683796
66	364	0.318	73.1	331.0	0.901	5.76	30832.990	12486614
67	367	0.315	77.3	336.1	0.891	3.77	30787.564	11431884
68	370	0.390	109.7	341.9	0.906	3.44	30733.518	10964402
69	372	0.391	82.5	345.8	0.917	3.27	30698.896	10354440
70	375	0.337	82.3	351.4	0.917	3.46	30660.176	9518149
71	377	0.323	84.0	355.2	0.906	3.29	30631.123	9056010
72	380	0.329	87.1	361.1	0.911	3.04	30585.938	8493151
73	383	0.329	85.0	366.9	0.908	3.12	30547.617	7872669
74	385	0.319	83.9	370.8	0.889	3.20	30524.332	7373071
75	388	0.323	89.6	376.6	0.925	3.01	30487.361	6793942
76	390	0.395	124.0	381.1	0.911	2.83	30453.717	6749318
77	392	0.391	91.4	385.5	0.924	2.54	30426.281	6318904
78	395	0.327	91.3	391.7	0.934	2.76	30392.334	5831581
79	397	0.318	89.7	395.8	0.914	2.75	30369.777	5596816
80	400	0.315	92.1	402.1	0.905	2.88	30334.047	5154038
