nout	nsum	z0_vflow1	z0vchange1
0	0	41600.000	0
1	5.4	41586.984	0.000
2	10.4	41564.504	0.000
3	15.3	41532.703	0.000
4	20.4	41462.785	0.000
5	25.4	41335.285	0.000
6	30.1	41194.898	0.000
7	35.1	41048.348	0.000
8	40.0	40906.965	0.000
9	45.3	40784.109	0.000
10	50.2	40693.277	0.000
11	55.1	40606.762	0.000
12	60.5	40520.703	0.000
13	65.6	40402.438	0.000
14	70.5	40236.828	0.000
15	75.5	40060.832	0.000
16	80.6	39901.543	0.000
17	85.3	39771.301	0.000
18	90.4	39632.465	0.000
19	95.7	39363.570	0.000
20	100.2	38842.660	0.000
21	105.4	38149.289	0.000
22	110.6	37579.348	0.000
23	115.3	37116.098	0.000
24	120.5	36683.832	0.000
25	125.1	36383.781	0.000
26	130.7	36057.020	0.000
27	135.7	35786.727	0.000
28	140.8	35519.637	0.000
29	145.3	35258.145	0.000
30	150.1	35005.105	0.000
31	155.5	34737.000	0.000
32	160.4	34506.703	0.000
33	165.3	34284.938	0.000
34	170.4	34068.160	0.000
35	175.6	33860.590	0.000
36	180.9	33659.262	0.000
37	185.4	33506.102	0.000
38	190.3	33357.547	0.000
39	195.3	33209.035	0.000
40	201.3	33030.504	0.000
41	206.3	32895.684	0.000
42	210.3	32795.598	0.000
43	215.7	32659.631	0.000
44	221.3	32528.916	0.000
45	225.6	32431.320	0.000
46	231.3	32317.562	0.000
47	235.8	32224.367	0.000
48	240.4	32133.637	0.000
49	246.5	32016.268	0.000
50	251.3	31927.350	0.000
51	256.1	31840.631	0.000
52	260.8	31756.760	0.000
53	265.4	31681.080	0.000
54	270.6	31596.041	0.000
55	275.2	31522.967	0.000
56	280.5	31438.350	0.000
57	285.7	31358.293	0.000
58	291.2	31276.252	0.000
59	296.7	31198.379	0.000
60	300.4	31150.615	0.000
61	305.7	31087.084	0.000
62	310.6	31029.420	0.000
63	315.6	30974.592	0.000
64	320.7	30921.469	0.000
65	325.9	30876.115	0.000
66	331.0	30832.990	0.000
67	336.1	30787.564	0.000
68	341.9	30733.518	0.000
69	345.8	30698.896	0.000
70	351.4	30660.176	0.000
71	355.2	30631.123	0.000
72	361.1	30585.938	0.000
73	366.9	30547.617	0.000
74	370.8	30524.332	0.000
75	376.6	30487.361	0.000
76	381.1	30453.717	0.000
77	385.5	30426.281	0.000
78	391.7	30392.334	0.000
79	395.8	30369.777	0.000
80	402.1	30334.047	0.000
