nout	nsum	z0_vflow1	z0vchange1
0	0	41600.000	0
1	10.1	41569.410	0.000
2	20.2	41503.117	0.000
3	30.6	41388.668	0.000
4	40.4	41213.996	0.000
5	50.3	41023.430	0.000
6	60.0	40845.410	0.000
7	70.1	40696.492	0.000
8	80.6	40580.316	0.000
9	90.1	40511.973	0.000
10	100.6	40447.043	0.000
11	110.2	40395.664	0.000
12	120.0	40346.512	0.000
13	131.0	40300.406	0.000
14	141.2	40259.047	0.000
15	150.9	40220.359	0.000
16	161.3	40180.113	0.000
17	170.6	40150.508	0.000
18	180.0	40100.047	0.000
19	190.3	40042.816	0.000
20	200.9	39968.508	0.000
21	210.6	39870.297	0.000
22	220.6	39743.906	0.000
23	230.8	39581.770	0.000
24	240.2	39415.332	0.000
25	251.0	39238.445	0.000
26	261.2	39087.422	0.000
27	270.3	38959.543	0.000
28	281.1	38836.102	0.000
29	290.8	38746.375	0.000
30	300.8	38669.102	0.000
