nout	nsum	cfl	tlength	tsum	dmax	vmax	volume	ekin
R	-----	-----	-----	-----	*1.000	-----	*56250.000	-----
0	0	-----	-----	0.0	1.000	0.00	56250.000	
1	15	0.400	33.4	10.6	2.698	24.50	56235.070	21001433088
2	30	0.398	35.5	20.6	3.312	22.64	56206.520	14938364928
3	44	0.400	39.0	30.7	3.089	20.52	56177.066	12233103360
4	57	0.397	42.0	40.7	2.894	19.12	56142.195	10375063552
5	69	0.399	33.9	50.6	2.548	17.62	56106.922	8738697216
6	80	0.396	48.5	60.2	2.433	16.46	56069.816	7828102656
7	92	0.399	54.1	71.0	2.109	14.60	56033.203	6692413440
8	101	0.398	60.9	80.4	2.007	12.82	55997.379	5401804288
9	109	0.397	70.4	90.5	1.739	11.12	55965.551	3867042560
10	116	0.383	78.0	100.6	1.463	10.14	55929.777	2310391296
11	122	0.369	85.0	110.2	1.453	9.23	55897.297	1263018240
12	128	0.374	91.2	120.7	1.374	8.35	55857.906	763881792
13	133	0.382	99.1	130.2	1.267	7.73	55826.215	524112224
14	138	0.396	111.8	140.6	1.189	7.47	55793.199	365207072
15	143	0.392	116.4	151.7	1.127	6.65	55755.566	257203056
16	147	0.393	125.7	161.2	1.089	4.42	55726.402	196222288
17	152	0.320	101.3	172.1	1.042	5.73	55696.918	144737232
18	156	0.399	107.5	181.8	1.023	5.24	55669.230	114862704
19	159	0.400	148.5	190.2	1.066	5.11	55644.391	99435912
20	163	0.399	154.1	201.8	1.052	4.63	55618.434	74752848
21	166	0.387	158.3	210.9	1.113	3.85	55601.609	60185408
22	170	0.400	162.1	222.8	1.092	4.33	55573.164	52773492
23	173	0.396	172.6	232.1	1.071	3.77	55550.922	50113948
24	176	0.397	130.3	240.9	1.102	3.62	55533.180	34532168
25	179	0.342	135.1	250.0	1.074	3.23	55516.691	28101694
26	183	0.327	123.1	261.9	1.125	2.96	55491.629	22333646
27	186	0.330	132.9	270.8	1.063	3.08	55474.402	25649800
28	189	0.329	147.4	280.4	1.081	2.46	55451.125	16885122
29	193	0.316	135.4	292.4	1.074	3.09	55437.184	14825631
30	196	0.397	183.8	302.7	1.067	2.40	55415.922	15260280
