nout	nsum	z0_vflow1	z0vchange1
0	0	56250.000	0
1	10.6	56235.070	0.000
2	20.6	56206.520	0.000
3	30.7	56177.066	0.000
4	40.7	56142.195	0.000
5	50.6	56106.922	0.000
6	60.2	56069.816	0.000
7	71.0	56033.203	0.000
8	80.4	55997.379	0.000
9	90.5	55965.551	0.000
10	100.6	55929.777	0.000
11	110.2	55897.297	0.000
12	120.7	55857.906	0.000
13	130.2	55826.215	0.000
14	140.6	55793.199	0.000
15	151.7	55755.566	0.000
16	161.2	55726.402	0.000
17	172.1	55696.918	0.000
18	181.8	55669.230	0.000
19	190.2	55644.391	0.000
20	201.8	55618.434	0.000
21	210.9	55601.609	0.000
22	222.8	55573.164	0.000
23	232.1	55550.922	0.000
24	240.9	55533.180	0.000
25	250.0	55516.691	0.000
26	261.9	55491.629	0.000
27	270.8	55474.402	0.000
28	280.4	55451.125	0.000
29	292.4	55437.184	0.000
30	302.7	55415.922	0.000
