nout	nsum	cfl	tlength	tsum	dmax1	vmax1	dmax2	vmax2	dmax3	vmax3	volume1	volume2	volume3	ekin
R	-----	-----	-----	-----	*1.000	-----	*1.200	-----	*0.000	-----	*56250.000	*55500.000	*0.000	-----
0	0	-----	-----	0.0	1.000	0.00	1.200	0.00	0.000	0.00	56250.000	55500.000	0.000	-----
1	16	0.390	34.2	10.7	2.626	24.06	2.562	23.28	0.000	0.00	56231.789	55464.484	0.000	31543928832
2	31	0.392	35.2	20.5	3.037	22.85	2.281	21.91	0.000	0.00	56214.414	55419.121	0.000	25606227968
3	45	0.396	36.5	30.1	2.575	22.85	1.998	22.28	0.000	0.00	56182.871	55369.992	0.000	23301369856
4	59	0.390	38.1	40.1	2.355	20.94	1.883	21.70	0.000	0.00	56145.105	55317.160	0.000	19818084352
5	73	0.387	39.9	50.7	2.060	19.09	1.798	19.94	0.000	0.00	56101.281	55260.414	0.000	17771165696
6	85	0.381	39.7	60.2	1.624	18.78	1.717	20.06	0.000	0.00	56067.953	55211.941	0.000	17831940096
7	98	0.373	38.1	70.2	0.982	19.32	1.643	20.99	0.000	0.00	56021.426	55153.617	0.000	18711373824
8	112	0.374	38.0	80.5	0.546	18.93	1.534	20.64	0.000	0.00	55973.824	55094.371	0.000	16626167808
9	124	0.370	41.4	90.0	0.400	17.32	1.536	18.99	0.000	0.00	55931.281	55035.871	0.000	13536782336
10	136	0.370	43.1	100.1	0.457	13.95	1.507	18.15	0.000	0.00	55880.219	54978.668	0.000	10013387776
11	148	0.380	50.1	110.8	0.581	9.14	1.806	15.34	0.000	0.00	55827.812	54920.879	0.000	6064625152
12	157	0.380	74.0	121.1	0.651	8.32	1.563	9.62	0.000	0.00	55788.203	54864.062	0.000	2744655360
13	163	0.383	99.0	131.7	0.673	7.82	1.240	5.85	0.000	0.00	55746.574	54819.578	0.000	917360576
14	169	0.390	89.3	141.7	0.633	7.17	1.179	6.42	0.000	0.00	55710.320	54782.750	0.000	911629568
15	174	0.375	85.7	150.0	0.606	6.85	1.387	8.62	0.000	0.00	55677.016	54754.516	0.000	1366651648
16	181	0.393	81.4	161.4	0.575	6.40	1.773	7.90	0.000	0.00	55639.426	54719.340	0.000	1162826624
17	187	0.397	73.9	170.8	0.554	5.48	1.646	6.11	0.000	0.00	55613.277	54700.516	0.000	483461056
18	194	0.243	59.1	181.1	0.531	4.24	1.409	3.09	0.000	0.00	55578.633	54681.367	0.000	188570592
19	200	0.215	77.4	190.4	0.515	3.29	1.355	2.82	0.000	0.00	55556.930	54671.840	0.000	227079200
20	206	0.254	87.7	200.6	0.500	3.12	1.368	3.75	0.000	0.00	55527.828	54657.008	0.000	243086720
21	212	0.210	92.7	210.6	0.499	4.28	1.366	2.84	0.000	0.00	55504.664	54647.145	0.000	193837488
22	218	0.230	96.0	220.9	0.504	3.98	1.365	2.46	0.000	0.00	55478.027	54631.449	0.000	132923992
23	224	0.218	80.7	230.8	0.493	3.57	1.387	2.28	0.000	0.00	55455.965	54619.746	0.000	100306432
24	230	0.190	74.1	240.7	0.491	3.29	1.440	3.35	0.000	0.00	55433.648	54609.539	0.000	94318704
25	236	0.239	94.2	250.8	0.493	3.19	1.502	3.79	0.000	0.00	55409.785	54597.113	0.000	92735072
26	242	0.251	70.2	260.6	0.483	2.93	1.518	3.07	0.000	0.00	55387.875	54586.410	0.000	79263552
27	248	0.220	64.8	270.4	0.482	2.83	1.506	2.62	0.000	0.00	55365.098	54577.191	0.000	67345184
28	254	0.196	74.7	280.3	0.480	2.69	1.497	2.43	0.000	0.00	55343.039	54564.418	0.000	61488628
29	260	0.197	55.7	290.2	0.469	2.68	1.503	2.49	0.000	0.00	55323.945	54554.176	0.000	59624520
30	267	0.218	61.8	301.5	0.463	2.43	1.507	2.90	0.000	0.00	55303.320	54545.293	0.000	56726340
