nout	nsum	z0_vflow1	z0vchange1	z0_vflow2	z0vchange2	z0_vflow3	z0vchange3
0	0	56250.000	0	55500.000	0	0.000	0
1	10.7	56231.789	0.000	55464.484	0.000	0.000	0.000
2	20.5	56214.414	0.000	55419.121	0.000	0.000	0.000
3	30.1	56182.871	0.000	55369.992	0.000	0.000	0.000
4	40.1	56145.105	0.000	55317.160	0.000	0.000	0.000
5	50.7	56101.281	0.000	55260.414	0.000	0.000	0.000
6	60.2	56067.953	0.000	55211.941	0.000	0.000	0.000
7	70.2	56021.426	0.000	55153.617	0.000	0.000	0.000
8	80.5	55973.824	0.000	55094.371	0.000	0.000	0.000
9	90.0	55931.281	0.000	55035.871	0.000	0.000	0.000
10	100.1	55880.219	0.000	54978.668	0.000	0.000	0.000
11	110.8	55827.812	0.000	54920.879	0.000	0.000	0.000
12	121.1	55788.203	0.000	54864.062	0.000	0.000	0.000
13	131.7	55746.574	0.000	54819.578	0.000	0.000	0.000
14	141.7	55710.320	0.000	54782.750	0.000	0.000	0.000
15	150.0	55677.016	0.000	54754.516	0.000	0.000	0.000
16	161.4	55639.426	0.000	54719.340	0.000	0.000	0.000
17	170.8	55613.277	0.000	54700.516	0.000	0.000	0.000
18	181.1	55578.633	0.000	54681.367	0.000	0.000	0.000
19	190.4	55556.930	0.000	54671.840	0.000	0.000	0.000
20	200.6	55527.828	0.000	54657.008	0.000	0.000	0.000
21	210.6	55504.664	0.000	54647.145	0.000	0.000	0.000
22	220.9	55478.027	0.000	54631.449	0.000	0.000	0.000
23	230.8	55455.965	0.000	54619.746	0.000	0.000	0.000
24	240.7	55433.648	0.000	54609.539	0.000	0.000	0.000
25	250.8	55409.785	0.000	54597.113	0.000	0.000	0.000
26	260.6	55387.875	0.000	54586.410	0.000	0.000	0.000
27	270.4	55365.098	0.000	54577.191	0.000	0.000	0.000
28	280.3	55343.039	0.000	54564.418	0.000	0.000	0.000
29	290.2	55323.945	0.000	54554.176	0.000	0.000	0.000
30	301.5	55303.320	0.000	54545.293	0.000	0.000	0.000
