nout	nsum	cfl	tlength	tsum	dmax	vmax	volume	ekin
R	-----	-----	-----	-----	*1.200	-----	*48960.004	-----
0	0	-----	-----	0.0	1.200	0.00	48960.004	
1	15	0.397	27.5	10.3	2.738	22.66	48944.082	19417696256
2	36	0.378	23.4	20.1	5.001	26.66	48924.664	21116483584
3	56	0.399	21.4	30.1	6.247	25.25	48900.023	15116422144
4	75	0.398	29.6	40.2	5.792	19.17	48861.551	13326963712
5	92	0.390	24.9	50.1	6.702	20.90	48820.305	14536485888
6	108	0.394	35.0	60.1	5.177	18.99	48778.176	12355919872
7	123	0.392	30.8	70.6	3.428	18.03	48734.043	9658923008
8	135	0.397	29.4	80.2	3.057	20.14	48680.980	7845074944
9	147	0.399	52.5	90.2	1.847	15.05	48640.355	5951448576
10	157	0.399	58.5	100.3	1.566	13.15	48586.602	3784415744
11	166	0.368	61.6	111.0	1.149	12.38	48543.906	1796330880
12	174	0.366	66.8	121.3	0.999	11.62	48503.230	1172365696
13	181	0.365	72.7	131.2	1.028	10.99	48473.492	849532224
14	187	0.371	76.9	140.3	1.034	10.66	48438.266	639543680
15	194	0.380	54.1	150.6	1.036	9.49	48416.629	450242048
16	202	0.329	56.8	161.1	1.017	8.51	48374.355	337033248
17	209	0.280	49.7	170.0	1.010	5.75	48331.648	263954224
18	217	0.400	58.4	180.2	1.012	5.37	48293.668	208922048
19	225	0.319	54.9	190.1	1.003	4.31	48242.562	167374048
20	234	0.283	50.7	201.2	0.978	3.97	48202.723	133002576
21	242	0.250	47.7	211.0	0.957	3.63	48157.277	111210504
22	250	0.221	43.9	220.9	0.932	3.29	48117.289	94532104
23	258	0.210	42.6	230.8	0.908	3.17	48089.645	82559800
24	266	0.209	41.1	240.7	0.883	3.14	48069.625	72968672
25	274	0.208	40.1	250.5	0.855	3.12	48048.543	65332044
26	282	0.207	38.3	260.3	0.822	3.08	48029.277	58352948
27	290	0.206	37.4	270.1	0.799	3.07	48013.824	53534520
28	299	0.205	37.0	281.1	0.776	3.07	48006.730	48299536
29	307	0.202	36.7	290.8	0.757	3.06	47997.902	44671828
30	315	0.201	37.4	300.5	0.739	5.24	47985.977	41884188
