nout	nsum	z0_vflow1	z0vchange1
0	0	48960.004	0
1	10.3	48944.082	0.000
2	20.1	48924.664	0.000
3	30.1	48900.023	0.000
4	40.2	48861.551	0.000
5	50.1	48820.305	0.000
6	60.1	48778.176	0.000
7	70.6	48734.043	0.000
8	80.2	48680.980	0.000
9	90.2	48640.355	0.000
10	100.3	48586.602	0.000
11	111.0	48543.906	0.000
12	121.3	48503.230	0.000
13	131.2	48473.492	0.000
14	140.3	48438.266	0.000
15	150.6	48416.629	0.000
16	161.1	48374.355	0.000
17	170.0	48331.648	0.000
18	180.2	48293.668	0.000
19	190.1	48242.562	0.000
20	201.2	48202.723	0.000
21	211.0	48157.277	0.000
22	220.9	48117.289	0.000
23	230.8	48089.645	0.000
24	240.7	48069.625	0.000
25	250.5	48048.543	0.000
26	260.3	48029.277	0.000
27	270.1	48013.824	0.000
28	281.1	48006.730	0.000
29	290.8	47997.902	0.000
30	300.5	47985.977	0.000
