nout	nsum	cfl	tlength	tsum	dmax1	vmax1	dmax2	vmax2	dmax3	vmax3	volume1	volume2	volume3	ekin
R	-----	-----	-----	-----	*1.200	-----	*1.000	-----	*0.000	-----	*48960.004	*80800.000	*0.000	-----
0	0	-----	-----	0.0	1.200	0.00	1.000	0.00	0.000	0.00	48960.004	80800.000	0.000	-----
1	19	0.397	25.5	10.3	2.618	22.57	1.912	32.00	0.000	0.00	48943.969	80780.047	0.000	47049367552
2	40	0.377	23.6	20.0	4.904	26.45	3.200	33.18	0.000	0.00	48926.648	80751.484	0.000	46858866688
3	60	0.397	24.5	30.1	5.800	25.70	2.522	27.89	0.000	0.00	48901.551	80714.039	0.000	34483613696
4	80	0.397	29.9	40.3	4.772	20.63	2.987	21.98	0.000	0.00	48873.684	80666.695	0.000	29334482944
5	98	0.378	25.3	50.2	4.240	27.53	2.078	28.21	0.000	0.00	48837.184	80605.500	0.000	32646574080
6	116	0.394	31.5	60.4	2.719	24.53	1.680	24.56	0.000	0.00	48800.211	80531.539	0.000	25117437952
7	131	0.398	34.6	70.1	1.955	20.53	1.711	22.05	0.000	0.00	48763.820	80642.953	0.000	18113871872
8	145	0.392	40.4	80.1	1.136	17.23	2.258	18.72	0.000	0.00	48720.996	80636.125	0.000	13880170496
9	156	0.382	51.3	90.1	0.840	14.78	1.682	13.72	0.000	0.00	48675.305	80588.117	0.000	8888067072
10	166	0.367	56.1	100.8	0.882	13.35	1.949	10.92	0.000	0.00	48625.668	80520.922	0.000	4214773760
11	174	0.374	61.0	110.2	0.813	12.60	1.487	11.21	0.000	0.00	48592.328	80455.398	0.000	3328135168
12	183	0.397	47.6	120.5	0.776	11.16	1.252	9.43	0.000	0.00	48564.621	80295.359	0.000	2250245120
13	191	0.396	71.1	130.6	0.810	11.09	1.700	8.29	0.000	0.00	48521.715	79645.211	0.000	1953721984
14	198	0.397	74.9	140.2	0.829	10.58	1.166	9.17	0.000	0.00	48494.785	78872.812	0.000	1729834496
15	205	0.378	70.7	150.4	0.847	10.05	1.149	10.22	0.000	0.00	48453.996	75185.984	0.000	1411463936
16	213	0.381	69.8	161.2	0.846	8.90	1.103	9.18	0.000	0.00	48406.125	69993.039	0.000	975340544
17	220	0.400	62.7	171.0	0.864	7.27	1.148	7.79	0.000	0.00	48353.742	66727.312	0.000	712390400
18	227	0.395	85.5	181.7	0.881	4.88	1.206	7.00	0.000	0.00	48302.016	64348.199	0.000	586955520
19	233	0.395	57.5	190.8	0.875	4.26	1.096	6.79	0.000	0.00	48268.574	62703.211	0.000	495046048
20	240	0.375	55.8	201.3	0.874	3.81	1.038	6.91	0.000	0.00	48233.805	60976.316	0.000	427944096
21	246	0.333	60.1	210.2	0.854	3.67	1.012	7.07	0.000	0.00	48197.566	59544.898	0.000	382366112
22	253	0.337	65.9	220.7	0.843	3.45	1.005	6.79	0.000	0.00	48162.578	57896.438	0.000	329745376
23	260	0.335	57.8	231.2	0.845	3.18	0.987	6.32	0.000	0.00	48144.316	56351.277	0.000	281024128
24	266	0.332	52.9	240.0	0.842	3.21	0.971	6.08	0.000	0.00	48130.711	55204.211	0.000	252676816
25	273	0.308	51.1	250.1	0.822	3.03	0.955	5.98	0.000	0.00	48106.207	54032.258	0.000	228758784
26	280	0.298	51.7	260.0	0.802	3.02	0.939	5.94	0.000	0.00	48084.164	52975.914	0.000	211367216
27	288	0.289	51.7	271.2	0.788	3.04	0.922	5.69	0.000	0.00	48068.312	51854.672	0.000	194112992
28	295	0.278	49.2	280.7	0.770	3.01	0.908	5.58	0.000	0.00	48053.949	50928.195	0.000	180300592
29	302	0.267	49.8	290.1	0.747	3.50	0.893	5.48	0.000	0.00	48038.098	50051.051	0.000	168673904
30	310	0.256	49.4	300.7	0.720	3.48	0.878	5.37	0.000	0.00	48024.836	49111.129	0.000	157854704
