nout	nsum	z0_vflow1	z0vchange1	z0_vflow2	z0vchange2	z0_vflow3	z0vchange3
0	0	48960.004	0	80800.000	0	0.000	0
1	10.3	48943.969	0.000	80780.047	0.000	0.000	0.000
2	20.0	48926.648	0.000	80751.484	0.000	0.000	0.000
3	30.1	48901.551	0.000	80714.039	0.000	0.000	0.000
4	40.3	48873.684	0.000	80666.695	0.000	0.000	0.000
5	50.2	48837.184	0.000	80605.500	0.000	0.000	0.000
6	60.4	48800.211	0.000	80531.539	0.000	0.000	0.000
7	70.1	48763.820	0.000	80642.953	0.000	0.000	0.000
8	80.1	48720.996	0.000	80636.125	0.000	0.000	0.000
9	90.1	48675.305	0.000	80588.117	0.000	0.000	0.000
10	100.8	48625.668	0.000	80520.922	0.000	0.000	0.000
11	110.2	48592.328	0.000	80455.398	0.000	0.000	0.000
12	120.5	48564.621	0.000	80295.359	0.000	0.000	0.000
13	130.6	48521.715	0.000	79645.211	0.000	0.000	0.000
14	140.2	48494.785	0.000	78872.812	0.000	0.000	0.000
15	150.4	48453.996	0.000	75185.984	0.000	0.000	0.000
16	161.2	48406.125	0.000	69993.039	0.000	0.000	0.000
17	171.0	48353.742	0.000	66727.312	0.000	0.000	0.000
18	181.7	48302.016	0.000	64348.199	0.000	0.000	0.000
19	190.8	48268.574	0.000	62703.211	0.000	0.000	0.000
20	201.3	48233.805	0.000	60976.316	0.000	0.000	0.000
21	210.2	48197.566	0.000	59544.898	0.000	0.000	0.000
22	220.7	48162.578	0.000	57896.438	0.000	0.000	0.000
23	231.2	48144.316	0.000	56351.277	0.000	0.000	0.000
24	240.0	48130.711	0.000	55204.211	0.000	0.000	0.000
25	250.1	48106.207	0.000	54032.258	0.000	0.000	0.000
26	260.0	48084.164	0.000	52975.914	0.000	0.000	0.000
27	271.2	48068.312	0.000	51854.672	0.000	0.000	0.000
28	280.7	48053.949	0.000	50928.195	0.000	0.000	0.000
29	290.1	48038.098	0.000	50051.051	0.000	0.000	0.000
30	300.7	48024.836	0.000	49111.129	0.000	0.000	0.000
