time, current, entrained
0.10,    66687983.757639,    0.000000
0.20,    66687983.757639,    0.000000
0.30,    66687983.757639,    0.000000
0.40,    66687983.757639,    0.000000
0.50,    66687983.757639,    0.000000
0.60,    66687983.757639,    0.000000
0.70,    66687983.757639,    0.000000
0.80,    66687983.757639,    0.000000
0.90,    66687983.757639,    0.000000
1.00,    66687983.757639,    0.000000
1.10,    66687983.757639,    0.000000
1.20,    66687983.757639,    0.000000
1.30,    66687983.757639,    0.000000
1.40,    66687984.287005,    0.529366
1.50,    66687984.967203,    0.680198
1.60,    66687987.898708,    2.931505
1.70,    66687994.821070,    6.922363
1.80,    66688006.474439,    11.653369
1.90,    66688023.498615,    17.024176
2.00,    66688048.954962,    25.456347
2.10,    66688084.054858,    35.099895
2.20,    66688135.917020,    51.862162
2.30,    66688205.320682,    69.403662
2.40,    66688297.049752,    91.729070
2.50,    66688417.915039,    120.865287
2.60,    66688575.882347,    157.967307
2.70,    66688771.945214,    196.062867
2.80,    66689013.294570,    241.349356
2.90,    66689309.424668,    296.130098
3.00,    66689658.125939,    348.701271
3.10,    66690060.693814,    402.567876
3.20,    66690530.198964,    469.505150
3.30,    66691063.331922,    533.132958
3.40,    66691672.063411,    608.731489
3.50,    66692350.736355,    678.672944
3.60,    66693097.580969,    746.844614
3.70,    66693923.868404,    826.287435
3.80,    66694808.240413,    884.372009
3.90,    66695768.505444,    960.265031
4.00,    66696801.602288,    1033.096844
4.10,    66697906.827206,    1105.224918
4.20,    66699092.822818,    1185.995613
4.30,    66700356.740591,    1263.917772
4.40,    66701694.690352,    1337.949761
4.50,    66703095.222566,    1400.532214
4.60,    66704565.549352,    1470.326785
4.70,    66706116.580639,    1551.031287
4.80,    66707760.778402,    1644.197763
4.90,    66709467.260551,    1706.482149
5.00,    66711290.968154,    1823.707603
5.10,    66713192.214313,    1901.246159
5.20,    66715163.116726,    1970.902413
5.30,    66717206.128188,    2043.011462
5.40,    66719316.422444,    2110.294256
5.50,    66721487.421791,    2170.999347
5.60,    66723790.724910,    2303.303119
5.70,    66726135.513556,    2344.788646
5.80,    66728565.977458,    2430.463902
5.90,    66731115.921415,    2549.943957
6.00,    66733759.362457,    2643.441042
6.10,    66736511.957060,    2752.594603
6.20,    66739304.011980,    2792.054920
6.30,    66742166.419855,    2862.407875
6.40,    66745086.598604,    2920.178749
6.50,    66747945.430055,    2858.831451
6.60,    66750874.849091,    2929.419035
6.70,    66753919.698287,    3044.849196
6.80,    66756984.013344,    3064.315057
6.90,    66760213.627674,    3229.614330
7.00,    66763464.785022,    3251.157348
7.10,    66766879.933371,    3415.148349
7.20,    66770416.639546,    3536.706175
7.30,    66774088.542906,    3671.903360
7.40,    66777971.524595,    3882.981689
7.50,    66781844.234043,    3872.709449
7.60,    66785796.515415,    3952.281371
7.70,    66789947.392488,    4150.877074
7.80,    66794185.849407,    4238.456919
7.90,    66798518.823774,    4332.974367
8.00,    66803024.626315,    4505.802541
8.10,    66807554.026465,    4529.400150
8.20,    66812240.758998,    4686.732533
8.30,    66816996.690925,    4755.931927
8.40,    66822016.616223,    5019.925299
8.50,    66827154.724632,    5138.108408
8.60,    66832550.743636,    5396.019005
8.70,    66837954.878216,    5404.134580
8.80,    66843551.614284,    5596.736067
8.90,    66849190.638430,    5639.024146
9.00,    66854991.882742,    5801.244312
9.10,    66860799.465439,    5807.582697
9.20,    66866607.125181,    5807.659742
9.30,    66872434.525667,    5827.400486
9.40,    66878219.606919,    5785.081252
9.50,    66883883.367330,    5663.760411
9.60,    66889681.246528,    5797.879198
9.70,    66895458.374706,    5777.128178
9.80,    66901650.825711,    6192.451005
9.90,    66907747.982002,    6097.156291
10.00,    88901006.263734,    6439.304907
10.10,    88907229.814384,    6223.550650
10.20,    88913493.090225,    6263.275841
10.30,    88919871.830499,    6378.740274
10.40,    88926283.134511,    6411.304012
10.50,    88932811.593172,    6528.458661
10.60,    88939264.498302,    6452.905130
10.70,    88945880.355625,    6615.857324
10.80,    88952398.597373,    6518.241748
10.90,    88958671.514953,    6272.917580
11.00,    88964602.619421,    5931.104467
11.10,    88970493.400378,    5890.780958
11.20,    88976182.999947,    5689.599568
11.30,    88981818.500546,    5635.500599
11.40,    88987590.665696,    5772.165150
11.50,    88993568.918524,    5978.252828
11.60,    88999533.301743,    5964.383219
11.70,    89005350.861730,    5817.559988
11.80,    89011201.166297,    5850.304567
11.90,    89017627.421163,    6426.254866
12.00,    89024310.515176,    6683.094013
12.10,    89030883.375489,    6572.860313
12.20,    89037300.835617,    6417.460128
12.30,    89043722.565507,    6421.729890
12.40,    89050124.833668,    6402.268161
12.50,    89056714.988758,    6590.155090
12.60,    89063089.230822,    6374.242064
12.70,    89069596.472444,    6507.241622
12.80,    89075752.038510,    6155.566066
12.90,    89081228.904476,    5476.865966
13.00,    89086964.021474,    5735.116999
13.10,    89092722.803343,    5758.781869
13.20,    89097954.022871,    5231.219527
13.30,    89103107.821864,    5153.798993
13.40,    89108072.744157,    4964.922294
13.50,    89112510.038726,    4437.294568
13.60,    89116859.285036,    4349.246311
13.70,    89121021.181608,    4161.896572
13.80,    89124986.990269,    3965.808661
13.90,    89129130.835984,    4143.845715
14.00,    89132807.232719,    3676.396735
14.10,    89136341.665142,    3534.432423
14.20,    89139826.589638,    3484.924495
14.30,    89143356.661642,    3530.072004
14.40,    89146840.614037,    3483.952396
14.50,    89150325.078527,    3484.464489
14.60,    89154012.476139,    3687.397612
14.70,    89157905.829411,    3893.353272
14.80,    89161696.602150,    3790.772739
14.90,    89165962.812250,    4266.210100
15.00,    89170408.940021,    4446.127770
15.10,    89175077.650269,    4668.710248
15.20,    89180031.336534,    4953.686265
15.30,    89185264.934997,    5233.598464
15.40,    89190488.745481,    5223.810483
15.50,    89195896.123590,    5407.378109
15.60,    89201457.567793,    5561.444204
15.70,    89206965.992609,    5508.424815
15.80,    89212125.639630,    5159.647021
15.90,    89217238.340747,    5112.701117
16.00,    89222677.097123,    5438.756376
16.10,    89228171.137375,    5494.040252
16.20,    89233822.989648,    5651.852273
16.30,    89239455.429047,    5632.439399
16.40,    89245150.541120,    5695.112073
16.50,    89251123.909735,    5973.368615
16.60,    89257185.861141,    6061.951406
16.70,    89263778.139441,    6592.278300
16.80,    89270574.250502,    6796.111061
16.90,    89277481.383451,    6907.132949
17.00,    89284700.576541,    7219.193090
17.10,    89292080.434607,    7379.858065
17.20,    89299485.944649,    7405.510042
17.30,    89306720.349795,    7234.405146
17.40,    89314220.003958,    7499.654163
17.50,    89322162.819106,    7942.815149
17.60,    89330656.364880,    8493.545774
17.70,    89339588.124695,    8931.759815
17.80,    89348994.718694,    9406.593999
17.90,    89358688.094537,    9693.375843
18.00,    89368460.454288,    9772.359751
18.10,    89378394.145749,    9933.691461
18.20,    89388414.830743,    10020.684995
18.30,    89398592.746726,    10177.915982
18.40,    89408515.834259,    9923.087534
18.50,    89418509.801148,    9993.966889
18.60,    89427940.561000,    9430.759852
18.70,    89437294.173808,    9353.612808
18.80,    89446789.882663,    9495.708856
18.90,    89456507.177446,    9717.294783
19.00,    89466653.408616,    10146.231170
19.10,    89477456.493568,    10803.084952
19.20,    89488642.776198,    11186.282630
19.30,    89499967.302893,    11324.526696
19.40,    89511355.678144,    11388.375250
19.50,    89522603.903939,    11248.225795
19.60,    89533978.212776,    11374.308837
19.70,    89544952.618234,    10974.405458
19.80,    89555741.756318,    10789.138085
19.90,    89566019.476509,    10277.720190
20.00,    89575600.728552,    9581.252044
20.10,    89585341.398035,    9740.669483
20.20,    89595566.661362,    10225.263327
20.30,    89605825.105344,    10258.443981
20.40,    89615588.942858,    9763.837515
20.50,    89625321.221760,    9732.278902
20.60,    89635005.780779,    9684.559019
20.70,    89644605.586493,    9599.805715
20.80,    89654115.473185,    9509.886692
20.90,    89663334.372247,    9218.899062
21.00,    89672485.317769,    9150.945521
21.10,    89681794.648533,    9309.330765
21.20,    89691547.730378,    9753.081844
21.30,    89701273.315068,    9725.584690
21.40,    89711008.631223,    9735.316155
21.50,    89720789.988475,    9781.357252
21.60,    89730694.874474,    9904.885999
21.70,    89740258.965296,    9564.090822
21.80,    89749363.455298,    9104.490002
21.90,    89758173.680261,    8810.224963
22.00,    89766969.605621,    8795.925360
22.10,    89776198.467833,    9228.862212
22.20,    89785409.580383,    9211.112550
22.30,    89795216.175055,    9806.594671
22.40,    89805679.200569,    10463.025515
22.50,    89816636.081836,    10956.881267
22.60,    89828173.011327,    11536.929491
22.70,    89840358.724891,    12185.713565
22.80,    89852470.740291,    12112.015399
22.90,    89864548.916141,    12078.175851
23.00,    89876343.984111,    11795.067970
23.10,    89888062.998083,    11719.013972
23.20,    89899658.764590,    11595.766507
23.30,    89910689.549531,    11030.784940
23.40,    89921337.414728,    10647.865198
23.50,    89931746.071173,    10408.656444
23.60,    89941859.366031,    10113.294859
23.70,    89951554.822136,    9695.456105
23.80,    89961045.962927,    9491.140791
23.90,    89970273.861820,    9227.898894
24.00,    89979595.153427,    9321.291607
24.10,    89989020.363239,    9425.209812
24.20,    89998425.375917,    9405.012678
24.30,    90007769.072308,    9343.696391
24.40,    90017404.365849,    9635.293541
24.50,    90027289.008826,    9884.642976
24.60,    90036880.992064,    9591.983239
24.70,    90046779.413666,    9898.421602
24.80,    90056126.921213,    9347.507547
24.90,    90065251.056015,    9124.134801
25.00,    90073803.661624,    8552.605609
25.10,    90082136.440916,    8332.779292
25.20,    90089753.858504,    7617.417588
25.30,    90097081.100232,    7327.241729
25.40,    90104171.739509,    7090.639277
25.50,    90111066.914524,    6895.175014
25.60,    90117923.148521,    6856.233997
25.70,    90124869.216919,    6946.068398
25.80,    90131880.305809,    7011.088889
25.90,    90138895.787717,    7015.481908
26.00,    90145955.880410,    7060.092693
26.10,    90153217.400158,    7261.519747
26.20,    90160593.539560,    7376.139402
26.30,    90167975.208089,    7381.668529
26.40,    90175217.171418,    7241.963330
26.50,    90182537.036827,    7319.865409
26.60,    90189905.801330,    7368.764503
26.70,    90197175.650885,    7269.849555
26.80,    90204583.589038,    7407.938152
26.90,    90211962.439899,    7378.850862
27.00,    90219121.538003,    7159.098104
27.10,    90226286.005894,    7164.467891
27.20,    90233534.937812,    7248.931918
27.30,    90240453.605884,    6918.668071
27.40,    90247317.196326,    6863.590442
27.50,    90253903.737560,    6586.541234
27.60,    90260212.576110,    6308.838550
27.70,    90266444.627069,    6232.050959
27.80,    90272484.499679,    6039.872610
27.90,    90278490.164593,    6005.664914
28.00,    90284452.699706,    5962.535113
28.10,    90290523.506377,    6070.806671
28.20,    90296621.116950,    6097.610573
28.30,    90302588.914804,    5967.797854
28.40,    90308455.581439,    5866.666635
28.50,    90314288.270287,    5832.688848
28.60,    90320037.345604,    5749.075317
28.70,    90325738.956285,    5701.610681
28.80,    90331472.048637,    5733.092352
28.90,    90337303.361667,    5831.313031
29.00,    90343245.395925,    5942.034258
29.10,    90349197.718221,    5952.322296
29.20,    90355400.687985,    6202.969764
29.30,    90361639.627801,    6238.939816
29.40,    90367926.155000,    6286.527199
29.50,    90374159.253547,    6233.098546
29.60,    90380830.757086,    6671.503539
29.70,    90387642.915690,    6812.158604
29.80,    90394437.546795,    6794.631105
29.90,    90401353.137251,    6915.590456
30.00,    90408330.285719,    6977.148469
30.10,    90415390.145615,    7059.859896
30.20,    90422748.720998,    7358.575383
30.30,    90430046.874646,    7298.153648
30.40,    90437172.242500,    7125.367854
30.50,    90444299.803398,    7127.560898
30.60,    90451855.982284,    7556.178886
30.70,    90459670.165761,    7814.183477
30.80,    90467278.459645,    7608.293884
30.90,    90475019.421337,    7740.961693
31.00,    90483121.649604,    8102.228267
31.10,    90491331.573729,    8209.924124
31.20,    90499824.568007,    8492.994278
31.30,    90508368.889354,    8544.321347
31.40,    90517192.386164,    8823.496810
31.50,    90526039.900923,    8847.514759
31.60,    90534830.551055,    8790.650131
31.70,    90543954.054461,    9123.503407
31.80,    90553138.601265,    9184.546804
31.90,    90562338.269615,    9199.668349
