time, current, entrained
0.10,    21986818.976826,    0.000000
0.20,    21986818.976826,    0.000000
0.30,    21986818.976826,    0.000000
0.40,    21986818.976826,    0.000000
0.50,    21986818.976826,    0.000000
0.60,    21986818.976826,    0.000000
0.70,    21986818.976826,    0.000000
0.80,    21986818.976826,    0.000000
0.90,    21986818.976826,    0.000000
1.00,    21986818.976826,    0.000000
1.10,    21986818.976826,    0.000000
1.20,    21986818.976826,    0.000000
1.30,    21986818.976826,    0.000000
1.40,    21986818.976826,    0.000000
1.50,    21986818.976826,    0.000000
1.60,    21986818.976826,    0.000000
1.70,    21986819.157742,    0.180916
1.80,    21986819.803895,    0.646153
1.90,    21986820.933303,    1.129408
2.00,    21986822.930237,    1.996934
2.10,    21986825.947230,    3.016993
2.20,    21986832.034767,    6.087537
2.30,    21986841.974287,    9.939520
2.40,    21986861.491182,    19.516896
2.50,    21986891.240595,    29.749412
2.60,    21986933.582110,    42.341515
2.70,    21986993.091204,    59.509095
2.80,    21987084.036940,    90.945736
2.90,    21987213.022371,    128.985431
3.00,    21987380.908246,    167.885875
3.10,    21987597.426687,    216.518441
3.20,    21987861.508164,    264.081477
3.30,    21988185.436187,    323.928023
3.40,    21988577.937002,    392.500815
3.50,    21989034.538092,    456.601090
3.60,    21989571.237942,    536.699850
3.70,    21990187.581225,    616.343283
3.80,    21990890.301098,    702.719873
3.90,    21991696.710387,    806.409290
4.00,    21992590.245750,    893.535363
4.10,    21993574.527570,    984.281820
4.20,    21994663.980321,    1089.452751
4.30,    21995854.993155,    1191.012834
4.40,    21997157.483135,    1302.489980
4.50,    21998565.445453,    1407.962317
4.60,    22000092.398328,    1526.952875
4.70,    22001742.684184,    1650.285856
4.80,    22003517.496668,    1774.812484
4.90,    22005406.679856,    1889.183188
5.00,    22007409.792568,    2003.112713
5.10,    22009546.803549,    2137.010981
5.20,    22011823.877426,    2277.073876
5.30,    22014235.409582,    2411.532156
5.40,    22016774.622378,    2539.212796
5.50,    22019460.562126,    2685.939748
5.60,    22022297.048796,    2836.486670
5.70,    22025296.367330,    2999.318535
5.80,    22028419.857016,    3123.489686
5.90,    22031688.901111,    3269.044095
6.00,    22035093.213816,    3404.312705
6.10,    22038653.200538,    3559.986722
6.20,    22042379.339572,    3726.139035
