time, current, entrained
0.10,    12299877.928688,    0.000000
0.20,    12299877.928688,    0.000000
0.30,    12299877.928688,    0.000000
0.40,    12299877.928688,    0.000000
0.50,    12299877.928688,    0.000000
0.60,    12299877.928688,    0.000000
0.70,    12299877.928688,    0.000000
0.80,    12299877.928688,    0.000000
0.90,    12299877.928688,    0.000000
1.00,    12299877.928688,    0.000000
1.10,    12299877.928688,    0.000000
1.20,    12299877.928688,    0.000000
1.30,    12299877.928688,    0.000000
1.40,    12299877.928688,    0.000000
1.50,    12299877.928688,    0.000000
1.60,    12299877.928688,    0.000000
1.70,    12299877.928688,    0.000000
1.80,    12299877.928688,    0.000000
1.90,    12299877.928688,    0.000000
2.00,    12299877.928688,    0.000000
2.10,    12299877.928688,    0.000000
2.20,    12299877.928688,    0.000000
2.30,    12299877.928688,    0.000000
2.40,    12299878.288546,    0.359858
2.50,    12299879.373047,    1.084502
2.60,    12299880.638222,    1.265175
2.70,    12299882.440955,    1.802733
2.80,    12299885.435759,    2.994804
2.90,    12299890.557704,    5.121945
3.00,    12299898.093813,    7.536109
3.10,    12299908.950696,    10.856883
3.20,    12299924.159441,    15.208745
3.30,    12299943.922706,    19.763266
3.40,    12299968.376677,    24.453971
3.50,    12300003.703564,    35.326887
3.60,    12300046.785649,    43.082084
3.70,    12300101.587100,    54.801451
3.80,    12300167.036845,    65.449745
3.90,    12300248.499919,    81.463074
4.00,    12300343.271415,    94.771496
4.10,    12300455.167784,    111.896369
4.20,    12300584.158229,    128.990444
4.30,    12300735.893233,    151.735004
4.40,    12300906.668520,    170.775287
4.50,    12301104.148789,    197.480269
4.60,    12301332.012834,    227.864044
4.70,    12301583.030675,    251.017841
4.80,    12301880.402411,    297.371736
4.90,    12302212.394948,    331.992537
5.00,    12302587.416682,    375.021734
5.10,    12303006.209642,    418.792960
5.20,    12303471.524392,    465.314750
5.30,    12303989.741912,    518.217520
5.40,    12304559.540986,    569.799074
5.50,    12305189.884102,    630.343116
5.60,    12305889.197413,    699.313311
5.70,    12306648.071820,    758.874406
5.80,    12307470.024042,    821.952223
5.90,    12308361.542453,    891.518411
6.00,    12309328.786491,    967.244038
6.10,    12310378.097525,    1049.311034
6.20,    12311497.915413,    1119.817888
6.30,    12312697.696006,    1199.780593
6.40,    12313980.775312,    1283.079306
6.50,    12315350.292976,    1369.517664
6.60,    12316828.116029,    1477.823053
6.70,    12318389.108572,    1560.992543
6.80,    12320064.334586,    1675.226014
6.90,    12321845.867020,    1781.532434
7.00,    12323725.698261,    1879.831241
7.10,    12325728.316652,    2002.618391
7.20,    12327828.029656,    2099.713004
7.30,    12330035.798972,    2207.769316
7.40,    12332378.810721,    2343.011749
7.50,    12334842.326773,    2463.516052
7.60,    12337426.308661,    2583.981888
7.70,    12340115.972474,    2689.663813
7.80,    12342926.845988,    2810.873514
7.90,    12345891.349527,    2964.503539
8.00,    12348996.725920,    3105.376393
8.10,    12352240.272731,    3243.546811
8.20,    12355633.282225,    3393.009494
8.30,    12359193.391545,    3560.109320
8.40,    12362908.919214,    3715.527669
8.50,    12366777.497584,    3868.578370
8.60,    12370772.244127,    3994.746542
8.70,    12374910.200233,    4137.956106
8.80,    12379233.207685,    4323.007452
8.90,    12383741.372270,    4508.164585
9.00,    12388496.100431,    4754.728161
9.10,    12393448.801907,    4952.701477
9.20,    12398535.344025,    5086.542118
9.30,    12403854.787675,    5319.443650
9.40,    12409372.648574,    5517.860899
9.50,    12415054.805360,    5682.156786
9.60,    12421024.076778,    5969.271417
9.70,    12427224.120414,    6200.043636
9.80,    12433713.370439,    6489.250025
9.90,    12440379.481675,    6666.111236
10.00,    12447336.889887,    6957.408212
10.10,    12454458.099797,    7121.209909
10.20,    12461872.661053,    7414.561257
10.30,    12469581.113718,    7708.452665
10.40,    12477500.827144,    7919.713426
10.50,    12485463.888057,    7963.060913
10.60,    12493639.781988,    8175.893931
10.70,    12501982.876240,    8343.094252
10.80,    12510552.609239,    8569.732999
10.90,    12519320.934702,    8768.325463
11.00,    12528264.998022,    8944.063320
11.10,    12537409.663068,    9144.665046
11.20,    12546748.274256,    9338.611188
11.30,    12556167.213700,    9418.939444
11.40,    12565847.310522,    9680.096822
11.50,    12575828.202955,    9980.892433
11.60,    12586085.322623,    10257.119668
11.70,    12596712.000817,    10626.678194
11.80,    12607779.324916,    11067.324099
11.90,    12619146.737949,    11367.413033
12.00,    12630753.044809,    11606.306860
12.10,    12642620.867890,    11867.823081
12.20,    12654764.687810,    12143.819920
12.30,    12667274.290480,    12509.602670
12.40,    12679975.674620,    12701.384140
12.50,    12692840.509662,    12864.835042
12.60,    12705648.461432,    12807.951770
12.70,    12718669.371645,    13020.910213
12.80,    12731678.122848,    13008.751202
12.90,    12744824.707717,    13146.584869
13.00,    12758041.174039,    13216.466322
13.10,    12771392.061896,    13350.887856
13.20,    12784863.139241,    13471.077345
13.30,    12798326.556492,    13463.417251
13.40,    12811615.130723,    13288.574231
13.50,    12824804.284484,    13189.153761
13.60,    12838356.621716,    13552.337232
13.70,    12851713.737078,    13357.115363
13.80,    12865217.611574,    13503.874496
13.90,    12878840.402255,    13622.790681
14.00,    12892652.193510,    13811.791256
14.10,    12906213.687293,    13561.493782
