x,y,z,h,s,r,g,b
997.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1022.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1047.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1072.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1097.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1122.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1147.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1172.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1197.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1222.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1247.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1272.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1297.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1322.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1347.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1372.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1397.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1422.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1447.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1472.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1497.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1522.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1547.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1572.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1597.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1622.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1647.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1672.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1697.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1722.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1747.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1772.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1797.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1822.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1847.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1872.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1897.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1922.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1947.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1972.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1997.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2022.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2047.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2072.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2097.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2122.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2147.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2172.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2197.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2222.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2247.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2272.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2297.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2322.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2347.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2372.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2397.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2422.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2447.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2472.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2497.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2522.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2547.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2572.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2597.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2622.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2647.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
2672.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
