nout	nsum	cfl	tlength	tsum	dmax1	vmax1	dmax2	vmax2	dmax3	vmax3	volume1	volume2	volume3	ekin
R	-----	-----	-----	-----	*1.000	-----	*0.000	-----	*0.000	-----	*69200.000	*0.000	*0.000	-----
0	0	-----	-----	0.0	1.000	0.00	0.000	0.00	0.000	0.00	69200.000	0.000	0.000	-----
1	2	0.360	318.8	9.6	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
2	3	0.360	318.8	15.9	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
3	4	0.360	318.8	22.3	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
4	5	0.360	318.8	28.7	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
5	6	0.360	318.8	35.1	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
6	7	0.360	318.8	41.4	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
7	8	0.360	318.8	47.8	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
8	9	0.360	318.8	54.2	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
9	10	0.360	318.8	60.6	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
10	11	0.360	318.8	66.9	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
11	12	0.360	318.8	73.3	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
12	13	0.360	318.8	79.7	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
13	14	0.360	318.8	86.1	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
14	15	0.360	318.8	92.4	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
15	16	0.360	318.8	98.8	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
16	17	0.360	318.8	105.2	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
