nout	nsum	cfl	tlength	tsum	dmax1	vmax1	dmax2	vmax2	dmax3	vmax3	volume1	volume2	volume3	ekin
R	-----	-----	-----	-----	*1.000	-----	*0.000	-----	*0.000	-----	*69200.000	*0.000	*0.000	-----
0	0	-----	-----	0.0	1.000	0.00	0.000	0.00	0.000	0.00	69200.000	0.000	0.000	-----
1	3	0.360	318.8	15.9	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
2	4	0.360	318.8	22.3	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
3	6	0.360	318.8	35.1	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
4	7	0.360	318.8	41.4	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
5	9	0.360	318.8	54.2	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
6	10	0.360	318.8	60.6	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
7	12	0.360	318.8	73.3	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
8	14	0.360	318.8	86.1	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
9	15	0.360	318.8	92.4	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
10	17	0.360	318.8	105.2	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
11	18	0.360	318.8	111.6	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
12	20	0.360	318.8	124.3	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
13	21	0.360	318.8	130.7	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
14	23	0.360	318.8	143.4	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
15	25	0.360	318.8	156.2	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
16	26	0.360	318.8	162.6	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
17	28	0.360	318.8	175.3	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
18	29	0.360	318.8	181.7	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
19	31	0.360	318.8	194.4	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
20	32	0.360	318.8	200.8	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
21	34	0.360	318.8	213.6	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
22	36	0.360	318.8	226.3	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
23	37	0.360	318.8	232.7	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
24	39	0.360	318.8	245.4	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
25	40	0.360	318.8	251.8	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
26	42	0.360	318.8	264.6	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
27	43	0.360	318.8	270.9	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
28	45	0.360	318.8	283.7	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
29	46	0.360	318.8	290.1	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
30	48	0.360	318.8	302.8	1.000	0.00	0.000	0.00	0.000	0.00	31600.000	0.000	0.000	0
