x,y,z,h,s,r,g,b
997.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1017.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1037.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1057.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1077.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1097.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1117.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1137.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1157.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1177.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1197.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1217.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1237.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1257.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1277.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1297.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1317.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1337.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1357.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1377.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1397.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1417.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1437.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1457.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1477.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1497.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1517.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1537.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1557.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1577.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1597.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1617.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1637.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1657.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1677.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1697.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1717.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1737.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1757.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1777.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1797.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
1817.50,-2997.50,0.00,0.00,0.00,0.71,0.71,0.71
