nout	nsum	z0_vflow1	z0vchange1	z0_vflow2	z0vchange2	z0_vflow3	z0vchange3
0	0	69200.000	0	0.000	0	0.000	0
1	9.6	31600.000	0.000	0.000	0.000	0.000	0.000
2	15.9	31600.000	0.000	0.000	0.000	0.000	0.000
3	22.3	31600.000	0.000	0.000	0.000	0.000	0.000
4	28.7	31600.000	0.000	0.000	0.000	0.000	0.000
5	35.1	31600.000	0.000	0.000	0.000	0.000	0.000
6	41.4	31600.000	0.000	0.000	0.000	0.000	0.000
7	47.8	31600.000	0.000	0.000	0.000	0.000	0.000
8	54.2	31600.000	0.000	0.000	0.000	0.000	0.000
9	60.6	31600.000	0.000	0.000	0.000	0.000	0.000
10	66.9	31600.000	0.000	0.000	0.000	0.000	0.000
11	73.3	31600.000	0.000	0.000	0.000	0.000	0.000
12	79.7	31600.000	0.000	0.000	0.000	0.000	0.000
13	86.1	31600.000	0.000	0.000	0.000	0.000	0.000
14	92.4	31600.000	0.000	0.000	0.000	0.000	0.000
15	98.8	31600.000	0.000	0.000	0.000	0.000	0.000
16	105.2	31600.000	0.000	0.000	0.000	0.000	0.000
