nout	nsum	cfl	tlength	tsum	dmax1	vmax1	dmax2	vmax2	dmax3	vmax3	volume1	volume2	volume3	ekin
R	-----	-----	-----	-----	*1.000	-----	*0.000	-----	*0.000	-----	*70625.000	*0.000	*0.000	-----
0	0	-----	-----	0.0	1.000	0.00	0.000	0.00	0.000	0.00	70625.000	0.000	0.000	-----
1	2	0.360	398.4	12.0	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
2	4	0.360	398.4	27.9	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
3	5	0.360	398.4	35.9	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
4	6	0.360	398.4	43.8	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
5	7	0.360	398.4	51.8	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
6	9	0.360	398.4	67.7	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
7	10	0.360	398.4	75.7	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
8	11	0.360	398.4	83.7	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
9	12	0.360	398.4	91.6	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
10	14	0.360	398.4	107.6	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
11	15	0.360	398.4	115.5	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
12	16	0.360	398.4	123.5	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
13	17	0.360	398.4	131.5	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
14	19	0.360	398.4	147.4	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
15	20	0.360	398.4	155.4	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
16	21	0.360	398.4	163.4	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
17	22	0.360	398.4	171.3	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
18	24	0.360	398.4	187.3	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
19	25	0.360	398.4	195.2	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
20	26	0.360	398.4	203.2	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
21	27	0.360	398.4	211.2	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
22	29	0.360	398.4	227.1	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
23	30	0.360	398.4	235.1	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
24	31	0.360	398.4	243.0	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
25	32	0.360	398.4	251.0	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
26	34	0.360	398.4	267.0	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
27	35	0.360	398.4	274.9	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
28	36	0.360	398.4	282.9	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
29	37	0.360	398.4	290.9	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
30	39	0.360	398.4	306.8	1.000	0.00	0.000	0.00	0.000	0.00	25625.000	0.000	0.000	0
