nout	nsum	z0_vflow1	z0vchange1	z0_vflow2	z0vchange2	z0_vflow3	z0vchange3
0	0	70625.000	0	0.000	0	0.000	0
1	12.0	25625.000	0.000	0.000	0.000	0.000	0.000
2	27.9	25625.000	0.000	0.000	0.000	0.000	0.000
3	35.9	25625.000	0.000	0.000	0.000	0.000	0.000
4	43.8	25625.000	0.000	0.000	0.000	0.000	0.000
5	51.8	25625.000	0.000	0.000	0.000	0.000	0.000
6	67.7	25625.000	0.000	0.000	0.000	0.000	0.000
7	75.7	25625.000	0.000	0.000	0.000	0.000	0.000
8	83.7	25625.000	0.000	0.000	0.000	0.000	0.000
9	91.6	25625.000	0.000	0.000	0.000	0.000	0.000
10	107.6	25625.000	0.000	0.000	0.000	0.000	0.000
11	115.5	25625.000	0.000	0.000	0.000	0.000	0.000
12	123.5	25625.000	0.000	0.000	0.000	0.000	0.000
13	131.5	25625.000	0.000	0.000	0.000	0.000	0.000
14	147.4	25625.000	0.000	0.000	0.000	0.000	0.000
15	155.4	25625.000	0.000	0.000	0.000	0.000	0.000
16	163.4	25625.000	0.000	0.000	0.000	0.000	0.000
17	171.3	25625.000	0.000	0.000	0.000	0.000	0.000
18	187.3	25625.000	0.000	0.000	0.000	0.000	0.000
19	195.2	25625.000	0.000	0.000	0.000	0.000	0.000
20	203.2	25625.000	0.000	0.000	0.000	0.000	0.000
21	211.2	25625.000	0.000	0.000	0.000	0.000	0.000
22	227.1	25625.000	0.000	0.000	0.000	0.000	0.000
23	235.1	25625.000	0.000	0.000	0.000	0.000	0.000
24	243.0	25625.000	0.000	0.000	0.000	0.000	0.000
25	251.0	25625.000	0.000	0.000	0.000	0.000	0.000
26	267.0	25625.000	0.000	0.000	0.000	0.000	0.000
27	274.9	25625.000	0.000	0.000	0.000	0.000	0.000
28	282.9	25625.000	0.000	0.000	0.000	0.000	0.000
29	290.9	25625.000	0.000	0.000	0.000	0.000	0.000
30	306.8	25625.000	0.000	0.000	0.000	0.000	0.000
