nout	nsum	cfl	tlength	tsum	dmax1	vmax1	dmax2	vmax2	dmax3	vmax3	volume1	volume2	volume3	ekin
R	-----	-----	-----	-----	*5.000	-----	*0.000	-----	*0.000	-----	*78000.000	*0.000	*0.000	-----
0	0	-----	-----	0.0	5.000	0.00	0.000	0.00	0.000	0.00	78000.000	0.000	0.000	-----
1	8	0.398	26.7	5.4	5.319	24.26	0.000	0.00	0.000	0.00	77605.984	0.000	0.000	43448827904
2	20	0.379	18.7	10.3	5.128	32.89	0.000	0.00	0.000	0.00	77320.586	0.000	0.000	63879417856
3	32	0.376	21.7	15.1	2.335	36.85	0.000	0.00	0.000	0.00	77243.484	0.000	0.000	58432417792
4	43	0.377	25.7	20.4	3.064	28.52	0.000	0.00	0.000	0.00	77211.789	0.000	0.000	36982235136
5	52	0.385	28.3	25.2	3.313	27.36	0.000	0.00	0.000	0.00	77196.461	0.000	0.000	28713488384
6	61	0.388	30.2	30.3	2.888	25.75	0.000	0.00	0.000	0.00	77180.359	0.000	0.000	25263261696
7	69	0.393	30.3	35.1	2.201	29.29	0.000	0.00	0.000	0.00	77166.461	0.000	0.000	26334646272
8	78	0.382	30.8	40.3	1.963	28.74	0.000	0.00	0.000	0.00	77149.523	0.000	0.000	26839414784
9	86	0.384	31.6	45.2	1.719	26.25	0.000	0.00	0.000	0.00	77133.312	0.000	0.000	25109745664
10	94	0.378	32.4	50.2	1.499	23.99	0.000	0.00	0.000	0.00	77120.242	0.000	0.000	22561546240
11	102	0.366	31.7	55.4	1.407	21.88	0.000	0.00	0.000	0.00	77109.898	0.000	0.000	19914942464
12	110	0.363	34.2	60.6	1.309	19.66	0.000	0.00	0.000	0.00	77102.391	0.000	0.000	17021543424
13	117	0.361	37.2	65.7	1.302	17.95	0.000	0.00	0.000	0.00	77092.734	0.000	0.000	13189697536
14	123	0.359	39.9	70.3	1.796	16.62	0.000	0.00	0.000	0.00	77092.602	0.000	0.000	9415120896
15	129	0.361	43.0	75.3	2.399	15.37	0.000	0.00	0.000	0.00	77083.734	0.000	0.000	6555741184
16	135	0.361	46.6	80.7	2.514	14.33	0.000	0.00	0.000	0.00	77078.414	0.000	0.000	4566258176
17	140	0.369	49.8	85.5	2.383	13.53	0.000	0.00	0.000	0.00	77069.219	0.000	0.000	3407388160
18	145	0.376	53.1	90.6	2.332	12.77	0.000	0.00	0.000	0.00	77061.141	0.000	0.000	2571173376
19	150	0.363	55.3	96.0	2.309	12.09	0.000	0.00	0.000	0.00	77043.336	0.000	0.000	1957937920
20	154	0.362	59.3	100.6	2.301	11.64	0.000	0.00	0.000	0.00	77028.383	0.000	0.000	1581113984
