nout	nsum	z0_vflow1	z0vchange1	z0_vflow2	z0vchange2	z0_vflow3	z0vchange3
0	0	78000.000	0	0.000	0	0.000	0
1	5.4	77605.984	0.000	0.000	0.000	0.000	0.000
2	10.3	77320.586	0.000	0.000	0.000	0.000	0.000
3	15.1	77243.484	0.000	0.000	0.000	0.000	0.000
4	20.4	77211.789	0.000	0.000	0.000	0.000	0.000
5	25.2	77196.461	0.000	0.000	0.000	0.000	0.000
6	30.3	77180.359	0.000	0.000	0.000	0.000	0.000
7	35.1	77166.461	0.000	0.000	0.000	0.000	0.000
8	40.3	77149.523	0.000	0.000	0.000	0.000	0.000
9	45.2	77133.312	0.000	0.000	0.000	0.000	0.000
10	50.2	77120.242	0.000	0.000	0.000	0.000	0.000
11	55.4	77109.898	0.000	0.000	0.000	0.000	0.000
12	60.6	77102.391	0.000	0.000	0.000	0.000	0.000
13	65.7	77092.734	0.000	0.000	0.000	0.000	0.000
14	70.3	77092.602	0.000	0.000	0.000	0.000	0.000
15	75.3	77083.734	0.000	0.000	0.000	0.000	0.000
16	80.7	77078.414	0.000	0.000	0.000	0.000	0.000
17	85.5	77069.219	0.000	0.000	0.000	0.000	0.000
18	90.6	77061.141	0.000	0.000	0.000	0.000	0.000
19	96.0	77043.336	0.000	0.000	0.000	0.000	0.000
20	100.6	77028.383	0.000	0.000	0.000	0.000	0.000
