nout	nsum	cfl	tlength	tsum	dmax1	vmax1	dmax2	vmax2	dmax3	vmax3	volume1	volume2	volume3	ekin
R	-----	-----	-----	-----	*1.000	-----	*0.000	-----	*0.000	-----	*81600.000	*0.000	*0.000	-----
0	0	-----	-----	0.0	1.000	0.00	0.000	0.00	0.000	0.00	81600.000	0.000	0.000	-----
1	13	0.396	28.8	10.4	1.410	21.93	0.000	0.00	0.000	0.00	84089.727	0.000	0.000	34617356288
2	31	0.387	28.2	20.2	3.198	22.28	0.000	0.00	0.000	0.00	87610.914	0.000	0.000	26913034240
3	48	0.393	35.3	30.5	3.439	17.45	0.000	0.00	0.000	0.00	90771.219	0.000	0.000	18861049856
4	61	0.392	43.0	40.2	3.069	14.20	0.000	0.00	0.000	0.00	93368.484	0.000	0.000	13636843520
5	72	0.384	52.0	50.3	2.516	11.92	0.000	0.00	0.000	0.00	95664.078	0.000	0.000	9174070272
6	81	0.380	61.0	60.3	2.062	10.15	0.000	0.00	0.000	0.00	97461.875	0.000	0.000	5080477184
7	89	0.380	71.3	70.7	1.817	8.69	0.000	0.00	0.000	0.00	98652.836	0.000	0.000	1982408960
8	96	0.377	81.2	81.1	1.720	7.67	0.000	0.00	0.000	0.00	99149.164	0.000	0.000	880620288
9	102	0.373	92.4	91.3	1.659	6.73	0.000	0.00	0.000	0.00	99397.273	0.000	0.000	490197152
10	107	0.373	102.6	101.0	1.614	5.87	0.000	0.00	0.000	0.00	99570.547	0.000	0.000	311660608
11	112	0.381	113.7	111.6	1.574	4.66	0.000	0.00	0.000	0.00	99717.555	0.000	0.000	205054064
12	116	0.384	123.7	120.9	1.545	3.92	0.000	0.00	0.000	0.00	99824.703	0.000	0.000	147008080
13	120	0.388	132.1	130.9	1.517	2.84	0.000	0.00	0.000	0.00	99929.172	0.000	0.000	114958080
14	124	0.396	145.5	141.3	1.492	2.34	0.000	0.00	0.000	0.00	100032.461	0.000	0.000	83354376
15	128	0.394	150.1	152.7	1.468	2.78	0.000	0.00	0.000	0.00	100135.039	0.000	0.000	70481472
16	131	0.379	117.1	161.3	1.452	2.65	0.000	0.00	0.000	0.00	100217.945	0.000	0.000	68300976
17	134	0.390	158.5	170.2	1.436	2.38	0.000	0.00	0.000	0.00	100304.969	0.000	0.000	54606728
18	138	0.386	128.1	181.9	1.416	1.51	0.000	0.00	0.000	0.00	100400.609	0.000	0.000	45404096
19	141	0.394	171.7	191.0	1.402	1.78	0.000	0.00	0.000	0.00	100485.141	0.000	0.000	45229796
20	144	0.394	126.2	200.5	1.388	1.92	0.000	0.00	0.000	0.00	100572.133	0.000	0.000	43754932
21	147	0.388	176.2	210.7	1.375	1.68	0.000	0.00	0.000	0.00	100662.078	0.000	0.000	39692048
22	150	0.376	120.6	220.4	1.363	1.82	0.000	0.00	0.000	0.00	100755.891	0.000	0.000	42158324
23	153	0.387	181.3	230.1	1.351	2.02	0.000	0.00	0.000	0.00	100834.539	0.000	0.000	37367340
24	156	0.389	128.1	240.0	1.339	1.44	0.000	0.00	0.000	0.00	100920.445	0.000	0.000	33060740
25	159	0.360	183.6	250.1	1.328	1.79	0.000	0.00	0.000	0.00	100988.320	0.000	0.000	25860928
26	163	0.374	186.9	263.7	1.313	1.83	0.000	0.00	0.000	0.00	101087.703	0.000	0.000	25819780
27	166	0.346	138.2	272.8	1.303	1.26	0.000	0.00	0.000	0.00	101155.578	0.000	0.000	25693926
28	168	0.365	183.5	280.1	1.296	2.02	0.000	0.00	0.000	0.00	101212.227	0.000	0.000	31431798
29	172	0.366	130.6	292.6	1.282	1.49	0.000	0.00	0.000	0.00	101315.234	0.000	0.000	29925308
30	175	0.365	183.1	302.8	1.273	2.17	0.000	0.00	0.000	0.00	101386.688	0.000	0.000	26654624
