nout	nsum	z0_vflow1	z0vchange1	z0_vflow2	z0vchange2	z0_vflow3	z0vchange3
0	0	81600.000	0	0.000	0	0.000	0
1	10.4	84089.727	-2496.920	0.000	0.000	0.000	0.000
2	20.2	87610.914	-6032.270	0.000	0.000	0.000	0.000
3	30.5	90771.219	-9207.236	0.000	0.000	0.000	0.000
4	40.2	93368.484	-11827.757	0.000	0.000	0.000	0.000
5	50.3	95664.078	-14146.844	0.000	0.000	0.000	0.000
6	60.3	97461.875	-15967.666	0.000	0.000	0.000	0.000
7	70.7	98652.836	-17178.387	0.000	0.000	0.000	0.000
8	81.1	99149.164	-17696.865	0.000	0.000	0.000	0.000
9	91.3	99397.273	-17972.910	0.000	0.000	0.000	0.000
10	101.0	99570.547	-18168.455	0.000	0.000	0.000	0.000
11	111.6	99717.555	-18341.381	0.000	0.000	0.000	0.000
12	120.9	99824.703	-18471.033	0.000	0.000	0.000	0.000
13	130.9	99929.172	-18598.242	0.000	0.000	0.000	0.000
14	141.3	100032.461	-18722.650	0.000	0.000	0.000	0.000
15	152.7	100135.039	-18853.156	0.000	0.000	0.000	0.000
16	161.3	100217.945	-18955.246	0.000	0.000	0.000	0.000
17	170.2	100304.969	-19059.771	0.000	0.000	0.000	0.000
18	181.9	100400.609	-19181.852	0.000	0.000	0.000	0.000
19	191.0	100485.141	-19283.287	0.000	0.000	0.000	0.000
20	200.5	100572.133	-19388.248	0.000	0.000	0.000	0.000
21	210.7	100662.078	-19496.549	0.000	0.000	0.000	0.000
22	220.4	100755.891	-19607.730	0.000	0.000	0.000	0.000
23	230.1	100834.539	-19707.600	0.000	0.000	0.000	0.000
24	240.0	100920.445	-19812.025	0.000	0.000	0.000	0.000
25	250.1	100988.320	-19899.646	0.000	0.000	0.000	0.000
26	263.7	101087.703	-20020.404	0.000	0.000	0.000	0.000
27	272.8	101155.578	-20101.361	0.000	0.000	0.000	0.000
28	280.1	101212.227	-20169.080	0.000	0.000	0.000	0.000
29	292.6	101315.234	-20288.857	0.000	0.000	0.000	0.000
30	302.8	101386.688	-20377.043	0.000	0.000	0.000	0.000
