nout	nsum	cfl	tlength	tsum	dmax1	vmax1	dmax2	vmax2	dmax3	vmax3	volume1	volume2	volume3	ekin
R	-----	-----	-----	-----	*90.00	-----	*0.00	-----	*0.00	-----	*1632541.5	*0.0	*0.0	-----
0	0	-----	-----	0.0	90.00	0.00	0.00	0.00	0.00	0.00	1632541.5	0.0	0.0	-----
1	45	0.387	8.6	10.1	64.57	52.52	0.00	0.00	0.00	0.00	1693832.5	0.0	0.0	1561680019456
2	103	0.369	8.2	20.0	44.85	60.81	0.00	0.00	0.00	0.00	1811785.9	0.0	0.0	3173965889536
3	160	0.367	9.6	30.0	40.45	53.60	0.00	0.00	0.00	0.00	1959165.1	0.0	0.0	2487582982144
4	207	0.369	12.1	40.1	36.92	46.45	0.00	0.00	0.00	0.00	2069178.5	0.0	0.0	1037123059712
5	247	0.373	13.3	50.2	34.50	41.39	0.00	0.00	0.00	0.00	2133049.0	0.0	0.0	425793454080
6	284	0.367	14.0	60.2	31.98	36.52	0.00	0.00	0.00	0.00	2161576.8	0.0	0.0	242350882816
7	319	0.364	14.7	70.2	30.14	33.75	0.00	0.00	0.00	0.00	2180954.2	0.0	0.0	166549651456
8	352	0.361	15.4	80.2	28.58	32.07	0.00	0.00	0.00	0.00	2196301.0	0.0	0.0	123696676864
9	384	0.366	15.8	90.1	27.10	30.65	0.00	0.00	0.00	0.00	2209224.5	0.0	0.0	96311451648
10	415	0.363	16.4	100.0	25.87	29.47	0.00	0.00	0.00	0.00	2220501.0	0.0	0.0	77186146304
11	445	0.364	17.1	110.0	24.82	28.60	0.00	0.00	0.00	0.00	2230484.2	0.0	0.0	63492440064
12	474	0.365	17.7	120.0	23.86	27.74	0.00	0.00	0.00	0.00	2239552.2	0.0	0.0	53230333952
13	502	0.366	18.3	130.1	22.94	26.68	0.00	0.00	0.00	0.00	2247837.8	0.0	0.0	45016608768
14	529	0.366	18.6	140.0	22.14	25.88	0.00	0.00	0.00	0.00	2255380.2	0.0	0.0	38698065920
15	556	0.367	19.1	150.1	21.40	25.21	0.00	0.00	0.00	0.00	2262550.0	0.0	0.0	33789888512
16	582	0.367	19.7	160.1	20.79	24.63	0.00	0.00	0.00	0.00	2269313.2	0.0	0.0	29852674048
17	608	0.368	12.0	170.3	19.96	23.93	0.00	0.00	0.00	0.00	2275869.5	0.0	0.0	26188824576
18	633	0.368	20.6	180.3	19.51	23.65	0.00	0.00	0.00	0.00	2282024.0	0.0	0.0	23819816960
19	657	0.368	21.1	190.2	19.12	23.12	0.00	0.00	0.00	0.00	2287865.8	0.0	0.0	21381210112
20	681	0.368	21.7	200.4	18.46	22.54	0.00	0.00	0.00	0.00	2293628.8	0.0	0.0	19205705728
21	704	0.368	22.2	210.4	18.17	21.89	0.00	0.00	0.00	0.00	2298988.2	0.0	0.0	17330872320
22	726	0.369	22.7	220.1	17.78	21.40	0.00	0.00	0.00	0.00	2303964.2	0.0	0.0	15720281088
23	748	0.369	23.1	230.1	17.30	21.00	0.00	0.00	0.00	0.00	2308806.5	0.0	0.0	14354922496
24	770	0.369	23.5	240.2	16.92	20.60	0.00	0.00	0.00	0.00	2313515.8	0.0	0.0	13138186240
25	791	0.368	24.0	250.1	16.69	20.25	0.00	0.00	0.00	0.00	2317909.5	0.0	0.0	12149063680
26	812	0.369	24.5	260.2	16.52	19.86	0.00	0.00	0.00	0.00	2322294.8	0.0	0.0	11259823104
27	835	0.372	25.3	270.4	16.49	19.14	0.00	0.00	0.00	0.00	2326658.0	0.0	0.0	10718706688
28	856	0.395	25.0	280.5	16.73	19.21	0.00	0.00	0.00	0.00	2330919.2	0.0	0.0	9836317696
29	878	0.399	25.9	290.3	16.59	18.71	0.00	0.00	0.00	0.00	2334990.2	0.0	0.0	9512944640
30	901	0.399	17.9	300.2	16.66	18.35	0.00	0.00	0.00	0.00	2339027.8	0.0	0.0	9002754048
