nout	nsum	z0_vflow1	z0vchange1	z0_vflow2	z0vchange2	z0_vflow3	z0vchange3
0	0	1632541.500	0	0.000	0	0.000	0
1	10.1	1693832.500	-61281.176	0.000	0.000	0.000	0.000
2	20.0	1811785.875	-179221.312	0.000	0.000	0.000	0.000
3	30.0	1959165.125	-326593.531	0.000	0.000	0.000	0.000
4	40.1	2069178.500	-436624.562	0.000	0.000	0.000	0.000
5	50.2	2133049.000	-500538.938	0.000	0.000	0.000	0.000
6	60.2	2161576.750	-529123.250	0.000	0.000	0.000	0.000
7	70.2	2180954.250	-548580.188	0.000	0.000	0.000	0.000
8	80.2	2196301.000	-563996.625	0.000	0.000	0.000	0.000
9	90.1	2209224.500	-576986.562	0.000	0.000	0.000	0.000
10	100.0	2220501.000	-588313.250	0.000	0.000	0.000	0.000
11	110.0	2230484.250	-598380.062	0.000	0.000	0.000	0.000
12	120.0	2239552.250	-607529.312	0.000	0.000	0.000	0.000
13	130.1	2247837.750	-615876.688	0.000	0.000	0.000	0.000
14	140.0	2255380.250	-623493.750	0.000	0.000	0.000	0.000
15	150.1	2262550.000	-630731.375	0.000	0.000	0.000	0.000
16	160.1	2269313.250	-637453.438	0.000	0.000	0.000	0.000
17	170.3	2275869.500	-643877.000	0.000	0.000	0.000	0.000
18	180.3	2282024.000	-649890.500	0.000	0.000	0.000	0.000
19	190.2	2287865.750	-655510.562	0.000	0.000	0.000	0.000
20	200.4	2293628.750	-661009.000	0.000	0.000	0.000	0.000
21	210.4	2298988.250	-666145.375	0.000	0.000	0.000	0.000
22	220.1	2303964.250	-670951.812	0.000	0.000	0.000	0.000
23	230.1	2308806.500	-675643.125	0.000	0.000	0.000	0.000
24	240.2	2313515.750	-680261.375	0.000	0.000	0.000	0.000
25	250.1	2317909.500	-684574.750	0.000	0.000	0.000	0.000
26	260.2	2322294.750	-688849.812	0.000	0.000	0.000	0.000
27	270.4	2326658.000	-693120.938	0.000	0.000	0.000	0.000
28	280.5	2330919.250	-697203.062	0.000	0.000	0.000	0.000
29	290.3	2334990.250	-701127.188	0.000	0.000	0.000	0.000
30	300.2	2339027.750	-705021.188	0.000	0.000	0.000	0.000
